,City,Building,Furnace_id,num_Furnace_modules,PM_id,num_CHP_modules,oversize_ratio_electricity,oversize_ratio_heat
51,albuquerque,large_hotel,None,0,GT3,1,24.27141578434087,9.84966971878841
52,albuquerque,large_hotel,None,0,GT4,1,34.58638658534449,14.035624771908154
53,albuquerque,large_hotel,None,0,GT5,1,66.26264108355207,20.914661034322073
54,albuquerque,large_hotel,None,0,GT6,1,131.2423862417799,36.196075985707935
55,albuquerque,large_hotel,None,0,MT1,28,2.5596973331884914,1.2553672850446378
56,albuquerque,large_hotel,None,0,MT2,15,2.9710772617366414,1.3142675708275444
57,albuquerque,large_hotel,None,0,MT3,7,4.266162221980819,1.318422262832268
58,albuquerque,large_hotel,None,0,MT4,5,3.809073412482874,1.3427012442348711
59,albuquerque,large_hotel,None,0,MT5,4,4.05894862834175,1.289719387814471
60,albuquerque,large_hotel,None,0,MT6,2,6.094517459972598,1.8834603754746686
61,albuquerque,large_hotel,None,0,FC1,1809,3.8587437297816503,1.2436206340202915
62,albuquerque,large_hotel,None,0,FC2,3352,15.321616894371111,1.2433683993807991
63,albuquerque,large_hotel,None,0,FC3,9,8.227598570963007,1.3851867164405116
64,albuquerque,large_hotel,None,0,FC4,4,4.8756139679780786,1.506768300379735
65,albuquerque,large_hotel,None,0,FC5,2,8.532324443961638,1.7823115775325102
66,albuquerque,large_office,None,0,RE1,10,0.8635742477606427,1.2451589907766192
67,albuquerque,large_office,None,0,RE2,3,1.6399274964974604,1.5460564499708302
68,albuquerque,large_office,None,0,RE3,2,1.936133463479361,1.5997075204874178
69,albuquerque,large_office,None,0,RE4,1,2.871384373804137,1.991960715669294
70,albuquerque,large_office,None,0,RE5,1,8.066647048332163,4.9847271997904565
71,albuquerque,large_office,None,0,GT1,1,3.035463480878659,3.8485073531305285
72,albuquerque,large_office,None,0,GT2,1,3.9724415396989565,5.036453435106808
73,albuquerque,large_office,None,0,GT3,1,6.878368883413519,7.225746563404634
74,albuquerque,large_office,None,0,GT4,1,9.801567712083294,10.296575454443513
75,albuquerque,large_office,None,0,GT5,1,18.778422017555176,15.343056610847965
76,albuquerque,large_office,None,0,GT6,1,37.19327927680312,26.553547390889985
