,electricity_demand,cooling_demand,heat_demand,total_electricity_demand,total_heat_demand,electricity_cooling,heat_cooling,electricity_CHP,electricity_PV,electricity_BES_in,electricity_BES_out,electricity_Grid,heat_Furnace,heat_CHP,fuel_CHP,PM_id,year
164,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
165,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
166,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
167,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
168,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
169,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
170,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
171,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
172,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
173,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
174,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
175,300225.1848337796,81176.03759382581,183788.6010053266,300225.1848337796,312639.454328859,0,128850.85332353346,9592945.58105591,0,0,0,0.0,0,247306.62729157144,8414839.05087338,GT1,2050
