CT_id,manufacturer,model,capacity_ton,capacity_kW,fan_motor_hp,hp_per_fan,num_fan,total_fan_hp,total_fan_kW,airflow_cfm,airflow_kg_per_hour,water_flow_gpm,waterflow_kg_per_hour,LG_ratio
CT641,EVAPCO,AT 112-3K14,439,1930,20,20,1,20,14.91402067,95400,182118.69,1317,299123.2392,1.642463203
CT642,EVAPCO,AT 112-3L14,471,2071,25,25,1,25,18.64252584,102300,195290.79,1413,320927.211,1.643329973
CT643,EVAPCO,AT 112-3M14,501,2202,30,30,1,30,22.37103101,108300,206744.8,1503,341368.4347,1.65115853
CT644,EVAPCO,AT 112-3N14,548,2409,40,40,1,40,29.82804134,118600,226407.51,1644,373393.0184,1.649207771
CT645,EVAPCO,AT 112-4I14,370,1627,10,10,1,10,7.457010335,75300,143747.77,1110,252108.4248,1.753824978
CT646,EVAPCO,AT 112-4J14,427,1877,15,15,1,15,11.1855155,85600,163410.48,1281,290946.7497,1.780465708
CT647,EVAPCO,AT 112-4K14,460,2022,20,20,1,20,14.91402067,93800,179064.28,1380,313432.0957,1.750388682
CT648,EVAPCO,AT 112-4L14,494,2172,25,25,1,25,18.64252584,100600,192045.49,1482,336598.8158,1.75270357
CT649,EVAPCO,AT 112-4M14,524,2304,30,30,1,30,22.37103101,106500,203308.6,1572,357040.0395,1.756148279
CT650,EVAPCO,AT 112-4N14,574,2523,40,40,1,40,29.82804134,116500,222398.6,1722,391108.7455,1.758593526
CT651,EVAPCO,AT 212-2I28,598,2629,(2) 10,10,2,20,14.91402067,155600,297040.54,1794,407461.7244,1.371737762
CT652,EVAPCO,AT 212-2J28,717,3152,(2) 15,15,2,30,22.37103101,176900,337702.26,2151,488545.2448,1.446674498
CT653,EVAPCO,AT 212-2K28,787,3460,(2) 20,20,2,40,29.82804134,194000,370346.17,2361,536241.4333,1.447946467
CT654,EVAPCO,AT 212-2L28,850,3737,(2) 25,25,2,50,37.28505168,208200,397453.99,2550,579168.003,1.457195105
CT655,EVAPCO,AT 212-2M28,900,3956,(2) 30,30,2,60,44.74206201,220700,421316.5,2700,613236.709,1.455525034
CT656,EVAPCO,AT 212-3I28,687,3020,(2) 10,10,2,20,14.91402067,153200,292458.94,2061,468104.0212,1.600580328
