Power,PLR_E,Heat,PLR_H,Fuel,PLR_F
28,0.430769231,72.91608222,0.554367201,118.4007123,0.528104575
29,0.446153846,74.55728021,0.56684492,121.6244941,0.54248366
30,0.461538462,76.1984782,0.579322638,124.2621337,0.554248366
31,0.476923077,77.60521934,0.590017825,127.1928444,0.567320261
32,0.492307692,79.24641733,0.602495544,129.830484,0.579084967
33,0.507692308,80.65315846,0.613190731,132.7611947,0.592156863
34,0.523076923,82.29435646,0.625668449,135.6919054,0.605228758
35,0.538461538,83.70109759,0.636363636,138.329545,0.616993464
36,0.553846154,85.34229558,0.648841355,141.2602557,0.630065359
37,0.569230769,86.74903672,0.659536542,143.8978954,0.641830065
38,0.584615385,88.39023471,0.67201426,146.8286061,0.654901961
39,0.6,89.79697585,0.682709447,149.4662457,0.666666667
40,0.615384615,91.20371698,0.693404635,152.1038853,0.678431373
41,0.630769231,92.61045812,0.704099822,155.034596,0.691503268
42,0.646153846,94.01719926,0.714795009,157.6722357,0.703267974
43,0.661538462,95.65839725,0.727272727,160.3098753,0.71503268
44,0.676923077,97.06513838,0.737967914,162.9475149,0.726797386
45,0.692307692,98.47187952,0.748663102,165.5851546,0.738562092
46,0.707692308,99.87862066,0.759358289,168.5158653,0.751633987
47,0.723076923,101.2853618,0.770053476,171.1535049,0.763398693
48,0.738461538,102.9265598,0.782531194,173.7911445,0.775163399
49,0.753846154,104.3333009,0.793226381,176.7218552,0.788235294
50,0.769230769,105.9744989,0.8057041,179.3594948,0.8
51,0.784615385,107.6156969,0.818181818,182.2902055,0.813071895
52,0.8,109.022438,0.828877005,185.2209162,0.826143791
53,0.815384615,110.663636,0.841354724,188.1516269,0.839215686
54,0.830769231,112.304834,0.853832442,191.0823376,0.852287582
55,0.846153846,113.946032,0.86631016,193.7199773,0.864052288
56,0.861538462,115.58723,0.878787879,196.650688,0.877124183
57,0.876923077,117.228428,0.891265597,199.5813987,0.890196078
58,0.892307692,118.869626,0.903743316,202.5121094,0.903267974
59,0.907692308,120.510824,0.916221034,205.4428201,0.916339869
60,0.923076923,122.152022,0.928698752,208.3735308,0.929411765
61,0.938461538,123.79322,0.941176471,211.3042415,0.94248366
62,0.953846154,125.6688748,0.95543672,214.5280232,0.956862745
63,0.969230769,127.5445297,0.96969697,217.751805,0.97124183
64,0.984615385,129.4201845,0.983957219,220.9755868,0.985620915
65,1,131.5302962,1,224.1993686,1
