PM_id,alpha_CHP,beta_ABC,energy_demand_int,percent_change_co2_int,percent_change_n2o_int,percent_change_ch4_int,percent_change_co_int,percent_change_nox_int,percent_change_pm_int,percent_change_so2_int,percent_change_voc_int,percent_change_GHG_int_100,percent_change_GHG_int_20,percent_change_NG_int,percent_change_TFCE,CHP_efficiency
GT6,1.0,1.0,348.1063029695699,23.08190053262775,-19.708926868266396,35.22788058718685,3.2545214205929187,-15.592808649481604,-67.74820607200462,-93.9107382701031,177.14500150904573,26.06972851650296,29.12703037118006,31.53076271974425,26.56726901485097,0.6990000000000026
MT1,1.0,0.0,348.1063029695699,258.9978510539706,-363.7706862471686,74.7098918029981,-331.26530073444854,-266.3346533553497,-183.14311682729564,-113.05610868420834,232.56156798006845,212.3814290374782,166.60097959022698,70.49602541211858,22.366070990628387,0.7729999999999979
MT1,1.0,1.0,348.1063029695699,219.17430718538174,-221.09769243954352,63.054480199946966,-189.59615582967209,-155.8109520616609,-136.9132756615238,-105.51722523119454,238.4697905603876,179.78021815270284,140.97647755991227,58.99155049691391,27.560967534118838,0.7729999999999979
MT2,1.0,0.0,348.1063029695699,15.964134402009497,-330.49803639573855,62.75764089422327,-332.3250210728899,-270.74797110608984,-171.58634596200713,-111.09206180530973,-137.3191040259316,27.286834930931597,39.10915546256616,58.79360307676879,23.615687248477816,0.7779999999999986
MT2,1.0,1.0,348.1063029695699,21.405407204992535,-186.77889334676917,55.07320857580454,-182.51748932735774,-152.96914408523836,-124.9826239830223,-103.49156083306123,-55.84552178702125,29.5876094633154,38.08309818289799,51.15768248248898,29.336930483062677,0.7779999999999986
MT3,1.0,0.0,348.1063029695699,19.041475861355874,-237.68237144726658,48.20471449128262,-198.44966749416648,-190.577312548186,-139.43056390115845,-105.65507447141712,328.10961858965385,26.06260853209623,33.44780826979873,44.41212092295811,12.794962258609333,0.6959999999999985
MT3,1.0,1.0,348.1063029695699,29.738081690327057,-88.38676643575148,48.97304643010432,-49.78189563626594,-68.04107007335168,-91.05759841187417,-97.78154912196192,338.951253931971,34.415872831466125,39.27302780311929,45.02034771841153,22.107070904692716,0.6959999999999985
MT4,1.0,0.0,348.1063029695699,23.92184699723764,-268.0683001070545,49.99751911252194,-266.5639181858267,-208.53364741591838,-149.94636164496964,-107.4291095355205,-90.0124876007006,30.135852749215726,36.763508479142786,46.23169803204397,18.73162444958095,0.7390000000000024
MT4,1.0,1.0,348.1063029695699,31.75561335202385,-121.02350260278634,48.40999494262638,-113.2400295003707,-89.4977852777228,-102.27657428100397,-99.66403909206846,-6.068063811952429,35.75425698306576,39.98037894980847,44.54036472960709,26.446598379940507,0.7390000000000024
MT5,1.0,0.0,348.1063029695699,15.773317586058369,-243.78205355828464,40.637811278382884,-216.91045712966223,-162.6891720021044,-141.54066234868736,-106.0107672747217,191.78825748981689,21.72065805093296,28.03326257036791,37.07541268797783,20.380213853359482,0.7460000000000018
