,City,Building,PM_id,alpha_CHP,beta_ABC,energy_demand_int,percent_change_co2_int,percent_change_n2o_int,percent_change_ch4_int,percent_change_co_int,percent_change_nox_int,percent_change_pm_int,percent_change_so2_int,percent_change_voc_int,percent_change_GHG_int_100,percent_change_GHG_int_20,percent_change_NG_int,percent_change_TFCE,technology,CHP_efficiency
2226,chicago,hospital,GT6,1.0,0.0,435.2910417384062,1.355884582640625,-159.50670700391444,20.742981639560863,-141.28047755684668,-138.6364563307849,-123.90625867450905,-104.05855296831056,95.41331841121037,5.980636432376216,10.889942800866475,17.574779481804175,12.399881573398591,Gas Turbine,0.699
2227,chicago,hospital,GT6,1.0,1.0,435.2910417384062,62.10304794990409,193.03001826065346,59.59923844090611,215.45981348206595,172.24616167767235,17.722047961354228,-80.01438980084734,280.3008443574925,61.64565479071915,60.964759889044075,55.00757174061379,42.60025903176753,Gas Turbine,0.699
2228,chicago,hospital,MT1,1.0,0.0,435.2910417384062,258.7549898111717,-319.9146924979716,73.41999759860715,-287.090788285628,-245.69785486660783,-188.3486549648237,-114.9989047109264,208.8817308814256,211.85593833647812,165.824901603934,69.30983633993392,21.23826307286278,Microturbine,0.773
2229,chicago,hospital,MT1,1.0,1.0,435.2910417384062,185.0860647030529,12.374711688725977,64.67898662147368,40.199898515946735,31.490713762175453,-54.854518736374324,-92.33567537761736,275.9078575776183,154.87512712628762,124.88355012019656,60.30191572015556,38.62825534672648,Microturbine,0.773
2230,chicago,hospital,MT2,1.0,0.0,435.2910417384062,12.36568907610926,-291.9344840409798,60.88297023116521,-288.6536353632399,-250.30135096821598,-177.1078699370866,-113.09056254573821,-134.00542300277752,24.064178907678606,36.30817916022326,57.02965676975346,22.337864229854574,Microturbine,0.778
2231,chicago,hospital,MT2,1.0,1.0,435.2910417384062,46.00608787101749,43.96515740533303,61.860860510577986,55.08835869117653,42.52099394979679,-42.16335491689661,-90.1811031673801,88.07961234466237,49.95268322513458,53.912411096931876,57.49970295201528,40.836208564882945,Microturbine,0.778
2232,chicago,hospital,MT3,1.0,0.0,435.2910417384062,14.749038433688055,-213.74234485366378,44.64003473855955,-177.10033075325794,-179.97435862043469,-145.69491499736424,-107.7576016985458,295.10742763607544,21.90427079232926,29.465123856164084,40.980012662248015,10.588692394696086,Microturbine,0.696
2233,chicago,hospital,MT3,1.0,1.0,435.2910417384062,60.855812751866246,132.48304378147137,65.02844073286198,164.62749848379553,122.1350930461555,-6.602128366588038,-84.14389242949214,373.45137856512264,61.98611384511656,62.99752329345587,60.403421937248325,37.85965583063003,Microturbine,0.696
2234,chicago,hospital,MT4,1.0,0.0,435.2910417384062,19.903742076845234,-239.38646078828864,46.99781981339858,-234.21590983278264,-195.59668689158372,-155.9971968724464,-109.50661467685299,-91.32962258417618,26.323191348166326,33.19877152642328,43.35711783615343,16.93531720079654,Microturbine,0.739
2235,chicago,hospital,MT4,1.0,1.0,435.2910417384062,59.45370268435416,103.45804330165498,62.257437542936,116.72069408589596,100.37528385427711,-18.262648742092683,-86.12349284402697,136.39554066472263,60.20795372818459,60.889310018555534,57.7672030672118,40.25375578684528,Microturbine,0.739
2236,chicago,hospital,MT5,1.0,0.0,435.2910417384062,11.47864939360076,-218.90017410532377,37.08262228988617,-192.62673092804525,-154.84412793382504,-147.76702428549916,-108.10938260314175,169.04836665873663,17.563651292509867,24.054858544506892,33.65133069866955,18.40289271833906,Microturbine,0.746
2237,chicago,hospital,MT5,1.0,1.0,435.2910417384062,58.06232277390136,126.65639923241852,59.7846542571547,152.64531168225813,134.2770993107498,-8.942927896713798,-84.54128873522771,297.55812909137387,58.57843968392304,58.979312555017906,55.31793549902424,42.38807684779765,Microturbine,0.746
2238,chicago,hospital,MT6,1.0,0.0,435.2910417384062,13.334020192214746,-213.74234485366378,44.22588822589729,-177.10033075325794,-179.97435862043469,-145.69491499736424,-107.7576016985458,295.10742763607544,20.740351736000317,28.55051554428866,40.57746316098908,10.905367784672219,Microturbine,0.698
2239,chicago,hospital,MT6,1.0,1.0,435.2910417384062,60.0295693320623,132.48304378147137,64.78661640799274,164.62749848379553,122.1350930461555,-6.602128366588038,-84.14389242949214,373.45137856512264,61.30648977152519,62.46347427752358,60.16836922427815,38.061969722374464,Microturbine,0.698
2240,chicago,hospital,FC1,1.0,0.0,435.2910417384062,-17.192960044417806,-221.5846639974861,19.87860269209199,-225.9570228851375,-209.35477432168662,-148.84549279774467,-108.29247363554451,-198.7424936951117,-8.21855080696485,1.125000966266245,16.937978559253338,36.37064143714252,Fuel Cell,0.86
2241,chicago,hospital,FC1,1.0,1.0,435.2910417384062,40.85966619322294,123.6206770671418,49.305651442003985,131.66239731954417,101.12724640036579,-10.162500664238657,-84.74833496287457,81.60895107504281,43.06853594173811,45.14224476732786,45.13834335581092,52.38370587450228,Fuel Cell,0.86
2242,chicago,hospital,FC2,1.0,0.0,435.2910417384062,-14.700226064760932,-78.451077592272,-15.368062888146323,-77.67614743815545,-80.61862845777661,-91.34292352621178,-98.5302926778322,-82.49948418638377,-14.947533526855874,-15.087164877384485,-17.749226188596207,24.671253437912405,Fuel Cell,0.74
2243,chicago,hospital,FC2,1.0,1.0,435.2910417384062,55.86006931390032,250.3349902795823,49.11810036928283,262.93353896211005,215.09569167202272,40.743780357505365,-76.10600239384449,184.5173842777478,54.427715510790385,52.66153491597887,44.75902630859003,52.69588720903933,Fuel Cell,0.74
2244,chicago,hospital,FC3,1.0,0.0,435.2910417384062,-8.216477436912257,-127.65255107527535,-7.64457425249776,-128.64697646976768,-124.87105184843415,-111.10915176287763,-101.88599485500924,-122.45745277760255,-8.225700642194417,-8.032082404608198,-10.118391866539621,32.856123222617576,Fuel Cell,0.82
2245,chicago,hospital,FC3,1.0,1.0,435.2910417384062,59.428495139052785,220.9130671671438,47.60360661926172,232.45356129916894,188.63324438396728,28.923800055429943,-78.11267423628897,160.6229722531552,56.68816642692066,53.66684206458716,43.30234740777749,54.24805213279533,Fuel Cell,0.82
2246,chicago,hospital,FC4,1.0,0.0,435.2910417384062,-23.456454086090687,-213.74234485366378,24.297771586978424,-207.64959471171204,-202.30129395718066,-145.69491499736424,-107.7576016985458,-70.50327925485828,-11.803239542175021,0.20171949962634778,21.207377530039924,28.62909479451196,Fuel Cell,0.81
2247,chicago,hospital,FC4,1.0,1.0,435.2910417384062,38.54724041715939,132.48304378147137,53.150388153543574,146.78947520909458,109.09817036509686,-6.602128366588038,-84.14389242949214,159.96760010585348,42.303958664657145,45.91032640652572,48.85798090239514,48.552065588097605,Fuel Cell,0.81
2248,chicago,hospital,FC5,1.0,0.0,435.2910417384062,-16.257122904347007,-153.26008108703323,0.8839990863409358,-155.17538998571604,-147.90278605982604,-121.39673558827883,-103.63251255314839,-143.25408359927948,-12.16150979370928,-7.823164085252139,-1.7481588183894077,31.84808307073884,Fuel Cell,0.82
2249,chicago,hospital,FC5,1.0,1.0,435.2910417384062,52.82169482446698,199.87199054926904,48.94635969256972,210.6558173901094,169.70863572542814,20.470745841153366,-79.54774480670866,143.5348929924219,52.0431506405363,51.012932434476696,44.639616403547905,52.82194811714529,Fuel Cell,0.82
2250,chicago,large_hotel,None,0.0,1.0,391.9626136769343,41.45270396727909,124.23093759616337,37.93820617383386,127.0234593300064,115.85530947290621,56.59410874207767,-14.337946098384904,107.82957266007219,40.74831799005707,39.82071091383291,36.26013379066841,23.412459260579233,None,1.0
2251,chicago,large_hotel,RE1,1.0,0.0,391.9626136769343,-8.693826984759566,-137.71552853545325,20.09334007357667,-43.86401033419956,-112.33798740944681,-121.66803348987231,-104.83871405090414,468.54872038379153,-1.8569229825470188,5.3862366603470875,17.76850114151011,14.153945156926802,Reciprocating Engine,0.828
2252,chicago,large_hotel,RE1,1.0,1.0,391.9626136769343,32.731091085377024,27.98851749139018,35.33433490564214,91.92424435646646,36.51129337709616,-26.469027718479012,-83.57971207118138,407.9390666501363,33.362819421015374,34.01334760028193,32.35231603989025,27.059451010926455,Reciprocating Engine,0.828
2253,chicago,large_hotel,RE2,1.0,0.0,391.9626136769343,2.8375416086716636,-81.53078653768728,2.6153450139767687,-31.46208783124001,-55.21518144463455,-89.38921045592868,-97.63049210339997,518.936477104444,2.6188200484948085,2.6180870967845724,0.42050625418650495,13.36688319707834,Reciprocating Engine,0.798
2254,chicago,large_hotel,RE2,1.0,1.0,391.9626136769343,37.07108579362704,58.010782707768435,33.268938397358426,93.25359597585172,67.49610796277588,-9.220868315410234,-79.72800530255302,434.86371811486595,36.17566149384233,35.21648054203442,30.30055762174576,29.0569934404913,Reciprocating Engine,0.798
2255,chicago,large_hotel,RE3,1.0,0.0,391.9626136769343,-2.1610611457376536,-75.89858527475886,-2.794358195271709,-25.730945056500467,-49.879736084746305,-86.1534417864762,-96.90790879496708,390.12692670301254,-2.460333717200572,-2.570184147535414,-4.885054898301325,15.539992553954093,Reciprocating Engine,0.806
2256,chicago,large_hotel,RE3,1.0,1.0,391.9626136769343,35.26001694851783,64.71524139132107,31.55278859242177,100.07583263768716,73.84731441009671,-5.369074613244151,-78.86785671931618,353.5084187235895,34.40451719777068,33.46344002294753,28.61549714718532,30.747838194319034,Reciprocating Engine,0.806
2257,chicago,large_hotel,RE4,1.0,0.0,391.9626136769343,-6.606567659035559,-70.23292921555928,-6.387441215679333,-19.96575978132777,-44.51259863340127,-82.89845292645084,-96.18103340316506,395.2080161415857,-6.676307575217784,-6.580683674738168,-8.40621134851899,15.730187444182281,Reciprocating Engine,0.795
2258,chicago,large_hotel,RE4,1.0,1.0,391.9626136769343,34.24039510936558,72.33969440537619,31.002712790542354,107.83422527370021,81.07004146768251,-0.9887328901988996,-77.88967745570406,360.34620189994524,33.51730720388162,32.687425655694305,28.07091567672889,31.303802439647875,Reciprocating Engine,0.795
2259,chicago,large_hotel,RE5,1.0,0.0,391.9626136769343,-6.582192386288509,-66.446717706987,-6.312547702953368,-16.11303547017459,-29.23070842168329,-80.72322800045283,-95.69528136580479,398.60357688643063,-6.63218103273935,-6.5264239610430455,-8.336004904294203,13.59734473444703,Reciprocating Engine,0.769
2260,chicago,large_hotel,RE5,1.0,1.0,391.9626136769343,35.16182942641854,76.70029358345914,31.915346327146178,112.2714275870305,92.83407548475697,1.5164847932234393,-77.33023434744938,364.25688659349123,34.44326049638481,33.608967210240905,28.960544662414772,30.398008587063835,Reciprocating Engine,0.769
2261,chicago,large_hotel,GT1,1.0,0.0,391.9626136769343,27.479384214713402,-119.01583553588841,40.39055906935802,-84.52891528105741,-94.62356535876708,-110.92483062625458,-102.43963678013166,150.66743907303578,30.373470691058657,33.679344480163834,37.54949622546885,-7.901268577435702,Gas Turbine,0.657
2262,chicago,large_hotel,GT1,1.0,1.0,391.9626136769343,55.91639154630299,39.30831949388446,52.10852200600905,64.48247845793146,47.2346646221173,-19.96566270111578,-82.12743797799419,199.67089626521974,54.9465645393169,54.010228947124226,48.75402432307524,13.048217333641842,Gas Turbine,0.657
2263,chicago,large_hotel,GT2,1.0,0.0,391.9626136769343,20.67659056483836,-119.01583553588841,31.345885673294337,-84.52891528105741,-94.62356535876708,-110.92483062625458,-102.43963678013166,150.66743907303578,23.031925742972934,25.775816016606644,28.69752441805597,-1.5666061374435571,Gas Turbine,0.704
2264,chicago,large_hotel,GT2,1.0,1.0,391.9626136769343,51.47635179700168,39.30831949388446,46.2052546918949,64.48247845793146,47.2346646221173,-19.96566270111578,-82.12743797799419,199.67089626521974,50.15489319538581,48.851762830990765,42.97652926627171,17.61634834211809,Gas Turbine,0.704
2265,chicago,large_hotel,GT3,1.0,0.0,391.9626136769343,13.870352964705345,-94.36970222570531,19.97600175915718,-79.34751976458342,-82.97118686235271,-96.7653249081004,-99.27766089965795,105.84033454780221,15.163211125756625,16.751730359000344,17.46418761579335,0.3110641279903738,Gas Turbine,0.706
2266,chicago,large_hotel,GT3,1.0,1.0,391.9626136769343,45.31687389947235,51.811335197783315,42.795944550165785,64.21832799769683,51.44571593539572,-12.78252690754233,-80.52336347302642,167.19988026802537,44.70881803183883,44.07763029320252,39.629647646483384,20.434295249799174,Gas Turbine,0.706
2267,chicago,large_hotel,GT4,1.0,0.0,391.9626136769343,18.345875102781033,-94.36970222570531,20.135508149346666,-79.34751976458342,-82.97118686235271,-96.7653249081004,-99.27766089965795,105.84033454780221,18.567380918959035,19.0853398206248,17.62029563730293,0.17792926659851013,Gas Turbine,0.705
2268,chicago,large_hotel,GT4,1.0,1.0,391.9626136769343,48.23795268190742,51.811335197783315,42.90005100247921,64.21832799769683,51.44571593539572,-12.78252690754233,-80.52336347302642,167.19988026802537,46.930647764314564,45.60072790607051,39.73153605532846,20.346477860398103,Gas Turbine,0.705
2269,chicago,large_hotel,GT5,1.0,0.0,391.9626136769343,9.646991438699711,-75.54033587134748,10.12303017571256,-60.18737581784893,-65.13392383585843,-85.94762311251674,-96.86194718474108,122.72693929727522,9.598591145499915,9.772048363437987,7.7568291180464755,1.714041738814788,Gas Turbine,0.698
2270,chicago,large_hotel,GT5,1.0,1.0,391.9626136769343,43.10798194399313,65.24347146941858,40.11828458602331,77.88642811499994,64.17012435019959,-5.065599957922312,-78.80008743700063,179.2461261103689,42.41491666983969,41.65703043494471,36.99806938500673,22.74770210829296,Gas Turbine,0.698
2271,chicago,large_hotel,GT6,1.0,0.0,391.9626136769343,4.937924878212171,-71.17168000170476,5.450283644612712,-60.716400076188705,-64.89383905958049,-83.43777676102813,-96.30147044317494,59.714531007131335,4.916114317594363,5.092737557359083,3.1800709578333404,3.263181227823427,Gas Turbine,0.699
2272,chicago,large_hotel,GT6,1.0,1.0,391.9626136769343,41.511692742691935,71.1770850651401,38.47755479558086,80.6775761556944,67.24670384704575,-1.656666208333356,-78.03883443079516,140.88352062718735,40.822324022828695,40.04851793692452,35.38745145238544,24.207953025809925,Gas Turbine,0.699
2273,chicago,large_hotel,MT1,1.0,0.0,391.9626136769343,198.94042181581048,-153.84009086796135,36.24579803986299,-134.88820660373415,-123.71456991733925,-130.9317922173131,-106.90741491107197,119.43625346538178,158.1973537525801,117.96095767029264,33.651691929460256,6.161476005498984,Microturbine,0.773
2274,chicago,large_hotel,MT1,1.0,1.0,391.9626136769343,164.65153688330315,9.956876510991036,42.44464176716918,24.875309348034346,21.97412128774909,-36.828426507586045,-85.8930816025318,173.34785346329951,134.26208889797732,103.96752262874213,39.36612961580048,20.666771527416667,Microturbine,0.773
2275,chicago,large_hotel,MT2,1.0,0.0,391.9626136769343,12.967700163526807,-137.71552853545325,27.599679536153705,-133.40365666282642,-124.03315838264422,-121.66803348987231,-104.83871405090414,-66.89382688214512,16.277326543349908,20.013895171515163,25.11491404001459,7.451131015618202,Microturbine,0.778
2276,chicago,large_hotel,MT2,1.0,1.0,391.9626136769343,46.86911239236272,27.98851749139018,40.23356414894029,33.48360815625108,28.878102269377504,-26.469027718479012,-83.57971207118138,58.467023885534196,45.19866111528892,43.56051139378965,37.147164592255,22.617282435620687,Microturbine,0.778
2277,chicago,large_hotel,MT3,1.0,0.0,391.9626136769343,19.353556024202135,-89.2788494757222,19.45487679832486,-69.19281063684966,-78.148566821844,-93.84056759560609,-98.62452990324974,177.3362456907589,19.167318088526184,19.26273118382026,16.933011888296303,-0.6287285504505534,Microturbine,0.696
2278,chicago,large_hotel,MT3,1.0,1.0,391.9626136769343,48.4937042762837,54.295360398702606,43.194589177212364,69.99269235928051,53.79885995731192,-11.355423978502767,-80.2046754389668,213.111616009103,47.200280875255004,45.8785675608706,40.017770743382016,20.100456684901673,Microturbine,0.696
2279,chicago,large_hotel,MT4,1.0,0.0,391.9626136769343,21.495404688882875,-105.72775363526115,19.581517390640883,-100.85394893028115,-89.83240186125315,-103.29066467871047,-100.73484220084639,-38.206461551358984,20.7768588581556,20.383077634660502,17.126156045069685,3.9198898601052607,Microturbine,0.739
2280,chicago,large_hotel,MT4,1.0,1.0,391.9626136769343,51.13099977809886,46.14548037751535,40.77730648458003,51.95953644755157,48.62278723144045,-16.03762995823804,-81.25026436488137,74.7506018848471,48.57211159802543,46.00022667826153,37.65864388248477,22.159069053982588,Microturbine,0.739
2281,chicago,large_hotel,MT5,1.0,0.0,391.9626136769343,16.49284395355641,-92.63310806944186,13.27338808194832,-77.58041866384127,-65.73253108029007,-95.76763027680641,-99.05486453776341,107.39775175320273,15.488033843212909,14.757842686500663,10.897133528047531,5.742188176130628,Microturbine,0.746
2282,chicago,large_hotel,MT5,1.0,1.0,391.9626136769343,46.89331605445191,52.66266777838038,38.67691846320459,65.08461603330099,62.42978066869169,-12.293425903692913,-80.41414175243317,167.9633747228222,44.88156196230269,42.83430087492657,35.59768449757622,24.015378821477075,Microturbine,0.746
2283,chicago,large_hotel,MT6,1.0,0.0,391.9626136769343,18.279430711063966,-89.2788494757222,19.135899963925947,-69.19281063684966,-78.148566821844,-93.84056759560609,-98.62452990324974,177.3362456907589,18.281206985597716,18.5637417426552,16.620831025409004,-0.3627228206459769,Microturbine,0.698
2284,chicago,large_hotel,MT6,1.0,1.0,391.9626136769343,47.79264536849929,54.295360398702606,42.98639973376751,69.99269235928051,53.79885995731192,-11.355423978502767,-80.2046754389668,213.111616009103,46.62193487186391,45.42235191435135,39.814016887020934,20.275481562557907,Microturbine,0.698
2285,chicago,large_hotel,FC1,1.0,0.0,391.9626136769343,-5.463902671781659,-94.36970222570531,-0.16075263953384644,-94.27079415268791,-94.6663578355501,-96.7653249081004,-99.27766089965795,-94.950620676924,-4.331042465894039,-2.954612271929422,-2.2435424950126253,20.53380367295934,Fuel Cell,0.86
2286,chicago,large_hotel,FC1,1.0,1.0,391.9626136769343,32.697813559352866,51.811335197783315,29.65311021566439,54.47822196432758,43.81252482767706,-12.78252690754233,-80.52336347302642,36.14786423129964,31.985330405328455,31.215716629793675,26.76682840426105,32.65456288497599,Fuel Cell,0.86
2287,chicago,large_hotel,FC2,1.0,0.0,391.9626136769343,-12.420630326693942,-41.6489025209383,-13.040160678937273,-40.62384224149669,-44.723372309472346,-66.47657918517702,-92.51384545779106,-47.66940632610533,-12.629986225062623,-12.765180691395257,-14.940529788123092,17.578209004589034,Fuel Cell,0.74
2288,chicago,large_hotel,FC2,1.0,1.0,391.9626136769343,33.34051093421827,97.03608178141748,29.421912943082397,100.49743674776437,86.65441790773517,13.199644404846754,-74.72125422942894,76.70644735516025,32.49953372686416,31.483755165060412,26.503631139109345,32.93055747775478,Fuel Cell,0.74
2289,chicago,large_hotel,FC3,1.0,0.0,391.9626136769343,-5.819919581531502,-62.614990325988906,-13.166621598302633,-61.95824366450374,-64.58477474740522,-78.52185364777728,-95.20368986920855,-66.472271555007,-7.7391716862529645,-9.529689670458499,-15.047177686981655,20.844567121425488,Fuel Cell,0.82
2290,chicago,large_hotel,FC3,1.0,1.0,391.9626136769343,36.36828295821157,80.68040419950616,28.118067223310295,83.85443714181419,71.16050709232952,3.8031071334316406,-76.81960602246363,62.038303056634305,34.423130615210454,32.3425468434835,25.240918874401054,34.270798724706914,Fuel Cell,0.82
