alpha_CHP,beta_ABC,PM_id,percent_change_co2_int_mean,percent_change_n2o_int_mean,percent_change_ch4_int_mean,percent_change_co_int_mean,percent_change_nox_int_mean,percent_change_pm_int_mean,percent_change_so2_int_mean,percent_change_voc_int_mean,percent_change_GHG_int_100_mean,percent_change_GHG_int_20_mean,percent_change_NG_int_mean,percent_change_co2_int_std,percent_change_n2o_int_std,percent_change_ch4_int_std,percent_change_co_int_std,percent_change_nox_int_std,percent_change_pm_int_std,percent_change_so2_int_std,percent_change_voc_int_std,percent_change_GHG_int_100_std,percent_change_GHG_int_20_std,percent_change_NG_int_std
1.0,1.0,FC4,27.875060374272294,-92.05155223212896,-90.19874774625103,-27.60298664214737,-30.191195679142986,-89.52682591409425,-87.74646384383779,49.63071931020429,28.34555299854745,29.79343131067782,29.021068237210994,43.99203675173276,6.848704361883219,8.447327338759097,63.83606364526897,68.29589089352542,9.028372577561488,10.572190091430336,57.01385192742711,33.409811648514165,26.2913930079658,16.190147295602866
1.0,1.0,FC5,43.50001208067821,-90.2915746615237,-88.02729605882085,-18.800138648433958,-14.767535555754414,-87.20608062920135,-85.02999320401662,-22.203543468088466,33.53569117449879,27.412801331823317,16.36296173499084,46.96128898224593,7.283426147256274,8.978162545645727,68.63811956398729,72.79250413116341,9.59382744372371,11.22898345144133,65.20037767853653,35.878055581871855,28.55319285829224,18.188774753531114
1.0,1.0,GT1,198.15914430450846,-93.22128258346605,-91.64175601760434,-1.9837505518924496,56.68416576051964,-91.0689740157426,-89.55137035847072,298.0410072548947,148.95763970113282,115.34733301109165,65.6235090872729,61.50986001458029,6.431045992594059,7.935707404605377,57.42922296772751,61.90954835089571,8.482840619206566,9.937092728685558,98.557672362566,42.414244172135724,31.177530954038073,17.513135963927525
1.0,1.0,GT2,185.5509125385849,-93.22128258346605,-91.64175601760434,-1.9837505518924496,56.68416576051964,-91.0689740157426,-89.55137035847072,298.0410072548947,137.56421628163233,104.73478846000287,56.30219665641699,59.00648104327597,6.431045992594059,7.935707404605377,57.42922296772751,61.90954835089571,8.482840619206566,9.937092728685558,98.557672362566,40.57780262456417,29.765266161626347,16.715531037159746
1.0,1.0,GT3,157.52429995464135,-92.25824313183075,-90.45373482425528,-17.530905268801725,16.564328204845093,-89.79933428224794,-88.06541099873148,219.8291383246587,115.98942607410751,87.6515296608815,45.53921183438914,53.76426644808109,6.782733506142936,8.366571357520545,62.152875349152254,64.53205671753612,8.942282253056094,10.472012677283619,79.39180522764057,37.4270695731465,27.82980608754588,16.141357594017656
1.0,1.0,GT4,165.92978779859033,-92.25824313183075,-90.45373482425528,-17.530905268801725,16.564328204845093,-89.79933428224794,-88.06541099873148,219.8291383246587,121.3350634841233,90.81783110314535,45.70351472554109,55.146593584255015,6.782733506142936,8.366571357520545,62.152875349152254,64.53205671753612,8.942282253056094,10.472012677283619,79.39180522764057,38.07345162735421,28.1047187898025,16.145668432787684
1.0,1.0,GT5,141.20949201932416,-91.07111372000308,-88.98914856672157,-7.616304790602022,26.966077003583003,-88.23408564261234,-86.23335560779128,229.33206405947087,102.28175478574356,75.70425574158934,36.11862880867138,51.62578917885889,7.118122434642411,8.776691460444384,65.36355703696888,68.02505037933629,9.37934633685399,10.98020463926355,81.21386447008717,36.368694272905664,27.440454981988335,16.59909281987986
1.0,1.0,GT6,132.6907362059006,-90.4871348503031,-88.26860328243637,-8.6364802958778,15.895396389721554,-87.46398801421702,-85.33190636173897,148.08240424485768,95.21908857315435,69.63076532044701,31.465543346096037,50.8312888463301,7.245720642161463,8.93227128183874,67.14214914516248,70.05433501322938,9.5449946064681,11.172400642852024,67.25698997753454,36.13550633085322,27.54219854932612,17.09150411778788
1.0,1.0,MT1,537.5578811395636,-94.47122253019111,-93.18350523433774,-30.122857584134703,61.91625277348875,-92.71657203959619,-91.4794774777487,288.03540835727426,359.9740766005706,234.8169481224384,59.461847430719224,147.27201993312414,5.853207747896779,7.22715454773617,53.49709896251143,58.43084321764519,7.72710010596967,9.056746729297613,97.55343659136214,89.19220552564423,54.882257798354196,17.735925015509334
1.0,1.0,MT2,183.1704579862054,-93.90851842175792,-92.4894737893307,-43.12451005381924,2.0883706290327613,-91.97490695647123,-90.61158622470208,34.756119918105156,134.2472038664545,100.7124752668776,51.50954197918829,58.97197605155003,6.131416509833807,7.568343091039385,57.42432025438411,58.343795317021886,8.09102275867155,9.480693213197346,51.27642597320821,40.43342707786341,29.5725817689434,16.57019035996177
1.0,1.0,MT3,164.61977245602907,-92.05155223212896,-90.19874774625103,-9.905027488714849,18.37585832212973,-89.52682591409425,-87.74646384383779,307.4104985380002,120.31838146969791,90.00325657780692,45.15803773477003,54.91440128124303,6.848704361883219,8.447327338759097,62.31164944749908,65.19724028716675,9.028372577561488,10.572190091430336,99.79681639092944,37.95229820352319,28.053665356129123,16.181460137716524
1.0,1.0,MT4,178.64176400657,-92.71002068136545,-91.01106372170987,-33.104801908312524,28.7920481790777,-90.394955337978,-88.76252122791968,44.3578510654144,128.94364027779113,94.78444353664234,44.73185444783886,57.4791689572239,6.627067222524498,8.175922983726956,61.801884591664574,62.7931750409148,8.739009467051597,10.235398009338335,55.15182335095514,39.12735858588085,28.49030211402038,16.03196665930318
1.0,1.0,MT5,161.5982487868727,-92.18801926017314,-90.36710271286982,-16.944290672150792,81.93589062729747,-89.70674948677464,-87.95704915968899,220.39135708843577,116.00688127207417,84.71473056002178,38.69015117140907,54.42456795109353,6.805508195285189,8.394453466096737,62.36503614123681,66.44111280359918,8.972007193435573,10.506604360408826,79.50190258778987,37.43497903917957,27.602954533304487,16.049955876274282
1.0,1.0,MT6,164.77199782643123,-92.05155223212896,-90.19874774625103,-9.905027488714849,18.37585832212973,-89.52682591409425,-87.74646384383779,307.4104985380002,120.29190382510916,89.84641881164193,44.82950646012509,54.939397713757096,6.848704361883219,8.447327338759097,62.31164944749908,65.19724028716675,9.028372577561488,10.572190091430336,99.79681639092944,37.94913343272192,28.040493060462083,16.17502904081483
