,plant_code,state,generator_id,generator_type,Sector,Year,net_gen_steam_turbine_MWh,net_gen_sscc_MWh,net_gen_ccgt_MWh,fuel_cons_total_MMBTU,water_withdrawal_MGal,water_consumption_MGal,total_gen_MWh,water_consumption_ML,water_consumption_intensity_L_per_kWh,water_consumption_rate_per_fuel_cons_L_per_kWh
132,4042,WI,1,Natural Gas Steam Turbine,Electric Utility,2020,70.0,0.0,0.0,0.0,378.0,0.0,70.0,0.0,0.0,
133,4266,TX,4,Natural Gas Steam Turbine,Electric Utility,2020,929.0,0.0,0.0,0.0,3.0,3.0,929.0,11.35623,12.224144241119483,inf
134,4266,TX,5,Natural Gas Steam Turbine,Electric Utility,2020,1526.0,0.0,0.0,0.0,3.0,3.0,1526.0,11.35623,7.441828309305373,inf
135,6042,FL,2,Natural Gas Steam Turbine,Electric Utility,2020,837.0,0.0,0.0,0.0,0.0,11.0,837.0,41.63951,49.74851851851852,inf
136,6072,MS,1,Nuclear,Electric Utility,2020,409.0,0.0,0.0,0.0,26.0,13.0,409.0,49.21033,120.31865525672372,inf
137,6073,MS,2,Conventional Steam Coal,Electric Utility,2020,194.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,
138,6081,MA,CA1,Petroleum Liquids,Electric Utility,2020,3681.0,0.0,0.0,0.0,15.0,15.0,3681.0,56.781150000000004,15.425468622656886,inf
139,6081,MA,CT1,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,2982.0,0.0,3.0,3.0,2982.0,11.35623,3.8082595573440643,inf
140,6081,MA,CT2,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,2592.0,0.0,21.0,21.0,2592.0,79.49361,30.668831018518517,inf
141,6081,MA,CT3,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,4656.0,0.0,9.0,9.0,4656.0,34.068690000000004,7.31715850515464,inf
142,6177,AZ,CO2,Conventional Steam Coal,Electric Utility,2020,89.0,0.0,0.0,0.0,54.0,54.0,89.0,204.41214000000002,2296.765617977528,inf
143,6183,TX,1,Conventional Steam Coal,Electric Utility,2020,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,
144,6190,LA,3,Petroleum Coke,Electric Utility,2020,522.0,0.0,0.0,0.0,1004.0,0.0,522.0,0.0,0.0,
145,6249,SC,3,Conventional Steam Coal,Electric Utility,2020,842.0,0.0,0.0,0.0,2.0,0.0,842.0,0.0,0.0,
146,6257,GA,3,Conventional Steam Coal,Electric Utility,2020,176.0,0.0,0.0,0.0,20.0,3.0,176.0,11.35623,64.52403409090908,inf
147,7153,DE,HR1,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,2031.0,0.0,3.0,3.0,2031.0,11.35623,5.591447562776957,inf
148,7153,DE,HR2,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,603.0,0.0,3.0,3.0,603.0,11.35623,18.832885572139304,inf
149,7153,DE,HR3,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,1125.0,0.0,3.0,3.0,1125.0,11.35623,10.094426666666667,inf
150,7242,FL,1CA,Petroleum Coke,Electric Utility,2020,248.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,
151,7302,FL,1GT,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,632.0,0.0,240.0,792.0,632.0,2998.0447200000003,4743.74164556962,inf
152,7985,IA,GT1,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,1928.0,0.0,0.0,0.0,1928.0,0.0,0.0,
153,7985,IA,GT2,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,1856.0,0.0,0.0,0.0,1856.0,0.0,0.0,
154,7999,WA,CT1,Natural Gas Fired Combined Cycle,IPP Non-CHP,2020,0.0,0.0,30.0,440.0,4.0,2.0,30.0,7.57082,252.36066666666667,58.71067671545455
155,8068,AZ,ST1,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,905.0,0.0,0.0,54.0,51.0,905.0,193.05591,213.32144751381216,inf
156,8068,AZ,ST2,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,706.0,0.0,0.0,82.0,53.0,706.0,200.62673,284.1738385269122,inf
157,8068,AZ,ST3,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,39.0,0.0,0.0,94.0,62.0,39.0,234.69542,6017.831282051282,inf
158,8073,OR,1,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,12894.0,0.0,84.0,54.0,12894.0,204.41214000000002,15.853275942298744,inf
159,8073,OR,2,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,15876.0,0.0,132.0,66.0,15876.0,249.83706,15.73677626606198,inf
160,8073,OR,3,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,6888.0,0.0,120.0,54.0,6888.0,204.41214000000002,29.676559233449478,inf
161,8073,OR,4,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,13836.0,0.0,96.0,48.0,13836.0,181.69968,13.132385082393755,inf
162,8073,OR,5,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,444.0,0.0,348.0,306.0,444.0,1158.33546,2608.8636486486485,inf
163,8073,OR,6,Natural Gas Fired Combined Cycle,Electric Utility,2020,0.0,0.0,3474.0,3756.0,72.0,30.0,3474.0,113.56230000000001,32.689205526770294,103.1657258578275
