,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
4892,100.0,20.0,101.3,0.87,1,145,84.61,0.07525
4893,100.0,20.0,101.3,0.87,1,145,84.61,0.07525
4894,100.0,19.4,101.2,0.9,1,145,84.61,0.07352
4895,100.0,18.9,101.2,0.93,1,145,84.61,0.07192
4896,100.0,18.0,101.2,1.0,1,145,84.61,0.06857
4897,100.0,18.3,101.1,0.97,1,145,84.61,0.06992
4898,100.0,18.3,101.1,0.93,1,145,84.61,0.07135
4899,100.0,18.3,101.1,0.93,1,145,84.61,0.07135
4900,100.0,18.3,101.1,0.93,1,145,84.61,0.07135
4901,100.0,18.3,101.2,0.93,1,145,84.61,0.07133
4902,100.0,18.9,101.2,0.9,1,145,84.61,0.07302
4903,100.0,20.6,101.2,0.81,1,145,84.61,0.07828
4904,100.0,20.6,101.2,0.81,1,145,84.61,0.07828
4905,100.0,21.7,101.2,0.76,1,145,84.61,0.08155
4906,100.0,21.7,101.2,0.76,1,145,84.61,0.08155
4907,100.0,22.8,101.2,0.71,1,145,84.61,0.08499
4908,100.0,22.2,101.1,0.73,1,145,84.61,0.08344
4909,100.0,22.8,101.1,0.71,1,145,84.61,0.08501
4910,100.0,22.2,101.0,0.73,1,145,84.61,0.08346
4911,100.0,21.7,101.0,0.76,1,145,84.61,0.08159
4912,100.0,21.1,100.9,0.76,1,145,84.61,0.08096
4913,100.0,20.0,100.9,0.84,1,145,84.61,0.0765
4914,100.0,19.4,101.0,0.87,1,145,84.61,0.0747
4915,100.0,18.9,100.9,0.87,1,145,84.61,0.0742
4916,100.0,18.3,100.9,0.87,1,145,84.61,0.07358
4917,100.0,18.3,100.9,0.87,1,145,84.61,0.07358
4918,100.0,18.3,100.9,0.84,1,145,84.61,0.0747
4919,100.0,18.3,100.9,0.87,1,145,84.61,0.07358
4920,100.0,18.3,100.9,0.87,1,145,84.61,0.07358
4921,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
4922,100.0,17.8,100.8,0.93,1,145,84.61,0.07091
4923,100.0,17.8,100.8,0.93,1,145,84.61,0.07091
4924,100.0,18.3,100.8,0.9,1,145,84.61,0.07249
4925,100.0,17.8,100.9,0.93,1,145,84.61,0.07089
4926,100.0,18.9,100.9,0.87,1,145,84.61,0.0742
4927,100.0,21.1,101.0,0.78,1,145,84.61,0.08009
4928,100.0,22.2,100.9,0.73,1,145,84.61,0.08348
4929,100.0,22.2,100.9,0.73,1,145,84.61,0.08348
4930,100.0,22.2,100.9,0.73,1,145,84.61,0.08348
4931,100.0,22.8,100.9,0.71,1,145,84.61,0.08505
4932,100.0,22.8,100.8,0.71,1,145,84.61,0.08507
4933,100.0,22.8,100.8,0.71,1,145,84.61,0.08507
4934,100.0,22.2,100.7,0.71,1,145,84.61,0.08442
4935,100.0,22.8,100.6,0.66,1,145,84.61,0.08745
4936,100.0,22.2,100.6,0.68,1,145,84.61,0.08581
4937,100.0,21.1,100.6,0.73,1,145,84.61,0.08231
4938,100.0,20.0,100.6,0.76,1,145,84.61,0.0798
4939,100.0,19.4,100.6,0.81,1,145,84.61,0.07711
4940,100.0,19.4,100.7,0.79,1,145,84.61,0.07789
4941,100.0,18.9,100.7,0.81,1,145,84.61,0.07654
4942,100.0,18.9,100.7,0.84,1,145,84.61,0.07539
4943,100.0,18.9,100.7,0.84,1,145,84.61,0.07539
4944,100.0,18.9,100.7,0.9,1,145,84.61,0.07312
4945,100.0,18.9,100.6,0.9,1,145,84.61,0.07314
4946,100.0,18.3,100.7,0.87,1,145,84.61,0.07362
4947,100.0,18.9,100.7,0.87,1,145,84.61,0.07424
4948,100.0,17.8,100.7,0.87,1,145,84.61,0.07309
4949,100.0,18.9,100.8,0.87,1,145,84.61,0.07422
4950,100.0,20.0,100.8,0.84,1,145,84.61,0.07652
4951,100.0,21.1,100.9,0.78,1,145,84.61,0.08011
4952,100.0,23.3,100.9,0.69,1,145,84.61,0.08654
4953,100.0,23.3,100.9,0.71,1,145,84.61,0.08559
4954,100.0,23.3,100.9,0.71,1,145,84.61,0.08559
4955,100.0,22.8,100.9,0.71,1,145,84.61,0.08505
4956,100.0,22.8,100.9,0.71,1,145,84.61,0.08505
4957,100.0,23.3,100.8,0.69,1,145,84.61,0.08656
4958,100.0,23.3,100.7,0.71,1,145,84.61,0.08563
4959,100.0,23.3,100.7,0.74,1,145,84.61,0.08424
4960,100.0,21.7,100.7,0.79,1,145,84.61,0.08036
4961,100.0,21.1,100.7,0.78,1,145,84.61,0.08015
4962,100.0,20.0,100.7,0.84,1,145,84.61,0.07654
