,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
134,100.0,21.7,101.4,0.55,1,145,84.61,0.09117
135,100.0,20.6,101.4,0.57,1,145,84.61,0.08869
136,100.0,20.0,101.4,0.59,1,145,84.61,0.08695
137,100.0,17.8,101.4,0.73,1,145,84.61,0.07823
138,100.0,16.7,101.5,0.75,1,145,84.61,0.07609
139,100.0,15.0,101.6,0.87,1,145,84.61,0.06983
140,100.0,15.0,101.6,0.9,1,145,84.61,0.06884
141,100.0,13.9,101.6,0.93,1,145,84.61,0.06667
142,100.0,13.3,101.6,0.97,1,145,84.61,0.06478
143,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
144,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
145,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
146,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
147,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
148,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
149,100.0,12.8,101.5,1.0,1,145,84.61,0.06337
150,100.0,12.8,101.6,1.0,1,145,84.61,0.06336
151,100.0,13.3,101.6,0.97,1,145,84.61,0.06478
152,100.0,13.9,101.7,1.0,1,145,84.61,0.06448
153,100.0,15.6,101.7,0.97,1,145,84.61,0.06716
154,100.0,17.8,101.7,0.87,1,145,84.61,0.0729
155,100.0,18.3,101.6,0.87,1,145,84.61,0.07345
156,100.0,20.0,101.6,0.81,1,145,84.61,0.07756
157,100.0,20.6,101.5,0.76,1,145,84.61,0.08029
158,100.0,20.6,101.5,0.76,1,145,84.61,0.08029
159,100.0,20.6,101.5,0.76,1,145,84.61,0.08029
160,100.0,19.4,101.5,0.81,1,145,84.61,0.07693
161,100.0,18.9,101.6,0.84,1,145,84.61,0.07521
162,100.0,18.3,101.6,0.87,1,145,84.61,0.07345
163,100.0,18.3,101.7,0.84,1,145,84.61,0.07454
164,100.0,17.2,101.7,0.9,1,145,84.61,0.07119
165,100.0,16.7,101.7,0.93,1,145,84.61,0.06962
166,100.0,16.1,101.7,0.93,1,145,84.61,0.069
167,100.0,16.1,101.7,0.93,1,145,84.61,0.069
168,100.0,15.0,101.7,0.97,1,145,84.61,0.06654
