,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,chiller_type,CoolingDemand_intensity_kWh/sqm,w4e_int_factor_(L/kWhe),PoG_annual_water_consumption_L,percent_evaporation,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm
32,houston,full_service_restaurant,234795.52030166617,373063.99336820224,4990.187458144738,836347.3008396006,569.52,2A,FRCC,0,AbsorptionChiller,412.26913945369114,0,836347.3008396006,1.0,3.5620240955409135,0.006254431969976319
33,houston,hospital,18556071.28920018,29483535.492840096,394378.368466467,57819188.43397459,22422.0,2A,FRCC,0,AbsorptionChiller,827.5832347337516,0,57819188.43397459,1.0,3.115917563198086,0.0001389669772187176
34,houston,large_hotel,3829362.368251737,6084431.318444385,81386.71486657627,12341018.328203132,11345.0,2A,FRCC,0,AbsorptionChiller,337.537449823864,0,12341018.328203132,1.0,3.222734528996095,0.00028406650762415997
35,houston,large_office,8672765.267591411,13780060.369617427,184325.17115387614,29166926.772496473,46320.0,2A,FRCC,0,AbsorptionChiller,187.23586501708573,0,29166926.772496473,1.0,3.3630481020267107,7.260466541508443e-05
36,houston,medium_office,729910.741203094,1159747.0665782448,15513.036286369688,2571911.00362326,4982.0,2A,FRCC,0,AbsorptionChiller,146.50958273847732,0,2571911.00362326,1.0,3.523596596734612,0.0007072654750571281
37,houston,midrise_apartment,286310.58942129154,454915.7143027182,6085.054393833835,1003516.2255100245,3135.0,2A,FRCC,0,AbsorptionChiller,91.32714176117753,0,1003516.2255100245,1.0,3.504991650984313,0.001118019665385746
38,houston,outpatient_healthcare,1850098.4989864696,2939600.9483896135,39320.7600984593,6125093.784248996,3804.0,2A,FRCC,0,AbsorptionChiller,486.356072288767,0,6125093.784248996,1.0,3.310685235193951,0.0008703168336472005
39,houston,primary_school,978606.1960831732,1554896.5115543662,20798.643687421012,3541071.2755571916,6871.0,2A,FRCC,0,AbsorptionChiller,142.4255852253199,0,3541071.2755571916,1.0,3.618484421752252,0.0005266314105300905
40,houston,quick_service_restaurant,96539.23317992153,153390.11494143086,2051.7805025172684,346993.2030842952,232.0,2A,FRCC,0,AbsorptionChiller,416.1173843962135,0,346993.2030842952,1.0,3.594323174678621,0.015492772304649228
41,houston,secondary_school,9826665.830957823,15613480.153632928,208849.4044606226,34469358.42993199,19592.0,2A,FRCC,0,AbsorptionChiller,501.56522207828823,0,34469358.42993199,1.0,3.507736909231216,0.00017903924608162597
42,houston,small_hotel,672384.7755477133,1068344.6989258137,14290.417762974119,2280787.9166494985,4014.0,2A,FRCC,0,AbsorptionChiller,167.50990920471182,0,2280787.9166494985,1.0,3.392087387451043,0.0008450641224342409
43,houston,small_office,53903.80669190545,85647.15952158318,1145.6355715586228,193215.37160173286,511.0,2A,FRCC,0,AbsorptionChiller,105.48690154971712,0,193215.37160173286,1.0,3.5844476199256508,0.0070145745986803345
44,houston,stand_alone_retail,347604.700222829,552305.2459096082,7387.758562069222,1266421.0243655806,2294.0,2A,FRCC,0,AbsorptionChiller,151.52776818780688,0,1266421.0243655806,1.0,3.643279344478807,0.0015881775695199682
45,houston,strip_mall,283609.45215008274,450623.90730513225,6027.646223029751,1041580.1817498978,2090.0,2A,FRCC,0,AbsorptionChiller,135.6983024641544,0,1041580.1817498978,1.0,3.6725862761397177,0.0017572183139424487
46,houston,supermarket,343831.0932244791,546309.4036788956,7307.556834664242,1259451.0692149876,4181.0,2A,FRCC,0,AbsorptionChiller,82.23656857796678,0,1259451.0692149876,1.0,3.662993528024884,0.0008761046467411825
47,houston,warehouse,83300.38506025884,132355.0562624108,1770.4108504806989,322418.81926458736,4835.0,2A,FRCC,0,AbsorptionChiller,17.228621522287245,0,322418.81926458736,1.0,3.8705561688742756,0.0008005286802221873
48,houston,full_service_restaurant,234795.52030166617,373063.99336820224,4990.187458144738,836347.3008396006,569.52,2A,SPSO,0,AbsorptionChiller,412.26913945369114,0,836347.3008396006,1.0,3.5620240955409135,0.006254431969976319
49,houston,hospital,18556071.28920018,29483535.492840096,394378.368466467,57819188.43397459,22422.0,2A,SPSO,0,AbsorptionChiller,827.5832347337516,0,57819188.43397459,1.0,3.115917563198086,0.0001389669772187176
50,houston,large_hotel,3829362.368251737,6084431.318444385,81386.71486657627,12341018.328203132,11345.0,2A,SPSO,0,AbsorptionChiller,337.537449823864,0,12341018.328203132,1.0,3.222734528996095,0.00028406650762415997
51,houston,large_office,8672765.267591411,13780060.369617427,184325.17115387614,29166926.772496473,46320.0,2A,SPSO,0,AbsorptionChiller,187.23586501708573,0,29166926.772496473,1.0,3.3630481020267107,7.260466541508443e-05
52,houston,medium_office,729910.741203094,1159747.0665782448,15513.036286369688,2571911.00362326,4982.0,2A,SPSO,0,AbsorptionChiller,146.50958273847732,0,2571911.00362326,1.0,3.523596596734612,0.0007072654750571281
53,houston,midrise_apartment,286310.58942129154,454915.7143027182,6085.054393833835,1003516.2255100245,3135.0,2A,SPSO,0,AbsorptionChiller,91.32714176117753,0,1003516.2255100245,1.0,3.504991650984313,0.001118019665385746
54,houston,outpatient_healthcare,1850098.4989864696,2939600.9483896135,39320.7600984593,6125093.784248996,3804.0,2A,SPSO,0,AbsorptionChiller,486.356072288767,0,6125093.784248996,1.0,3.310685235193951,0.0008703168336472005
55,houston,primary_school,978606.1960831732,1554896.5115543662,20798.643687421012,3541071.2755571916,6871.0,2A,SPSO,0,AbsorptionChiller,142.4255852253199,0,3541071.2755571916,1.0,3.618484421752252,0.0005266314105300905
56,houston,quick_service_restaurant,96539.23317992153,153390.11494143086,2051.7805025172684,346993.2030842952,232.0,2A,SPSO,0,AbsorptionChiller,416.1173843962135,0,346993.2030842952,1.0,3.594323174678621,0.015492772304649228
57,houston,secondary_school,9826665.830957823,15613480.153632928,208849.4044606226,34469358.42993199,19592.0,2A,SPSO,0,AbsorptionChiller,501.56522207828823,0,34469358.42993199,1.0,3.507736909231216,0.00017903924608162597
58,houston,small_hotel,672384.7755477133,1068344.6989258137,14290.417762974119,2280787.9166494985,4014.0,2A,SPSO,0,AbsorptionChiller,167.50990920471182,0,2280787.9166494985,1.0,3.392087387451043,0.0008450641224342409
59,houston,small_office,53903.80669190545,85647.15952158318,1145.6355715586228,193215.37160173286,511.0,2A,SPSO,0,AbsorptionChiller,105.48690154971712,0,193215.37160173286,1.0,3.5844476199256508,0.0070145745986803345
60,houston,stand_alone_retail,347604.700222829,552305.2459096082,7387.758562069222,1266421.0243655806,2294.0,2A,SPSO,0,AbsorptionChiller,151.52776818780688,0,1266421.0243655806,1.0,3.643279344478807,0.0015881775695199682
61,houston,strip_mall,283609.45215008274,450623.90730513225,6027.646223029751,1041580.1817498978,2090.0,2A,SPSO,0,AbsorptionChiller,135.6983024641544,0,1041580.1817498978,1.0,3.6725862761397177,0.0017572183139424487
62,houston,supermarket,343831.0932244791,546309.4036788956,7307.556834664242,1259451.0692149876,4181.0,2A,SPSO,0,AbsorptionChiller,82.23656857796678,0,1259451.0692149876,1.0,3.662993528024884,0.0008761046467411825
63,houston,warehouse,83300.38506025884,132355.0562624108,1770.4108504806989,322418.81926458736,4835.0,2A,SPSO,0,AbsorptionChiller,17.228621522287245,0,322418.81926458736,1.0,3.8705561688742756,0.0008005286802221873
64,houston,full_service_restaurant,234795.52030166617,373063.99336820224,4990.187458144738,836347.3008396006,569.52,2A,SRMV,0,AbsorptionChiller,412.26913945369114,0,836347.3008396006,1.0,3.5620240955409135,0.006254431969976319
65,houston,hospital,18556071.28920018,29483535.492840096,394378.368466467,57819188.43397459,22422.0,2A,SRMV,0,AbsorptionChiller,827.5832347337516,0,57819188.43397459,1.0,3.115917563198086,0.0001389669772187176
66,houston,large_hotel,3829362.368251737,6084431.318444385,81386.71486657627,12341018.328203132,11345.0,2A,SRMV,0,AbsorptionChiller,337.537449823864,0,12341018.328203132,1.0,3.222734528996095,0.00028406650762415997
67,houston,large_office,8672765.267591411,13780060.369617427,184325.17115387614,29166926.772496473,46320.0,2A,SRMV,0,AbsorptionChiller,187.23586501708573,0,29166926.772496473,1.0,3.3630481020267107,7.260466541508443e-05
68,houston,medium_office,729910.741203094,1159747.0665782448,15513.036286369688,2571911.00362326,4982.0,2A,SRMV,0,AbsorptionChiller,146.50958273847732,0,2571911.00362326,1.0,3.523596596734612,0.0007072654750571281
69,houston,midrise_apartment,286310.58942129154,454915.7143027182,6085.054393833835,1003516.2255100245,3135.0,2A,SRMV,0,AbsorptionChiller,91.32714176117753,0,1003516.2255100245,1.0,3.504991650984313,0.001118019665385746
70,houston,outpatient_healthcare,1850098.4989864696,2939600.9483896135,39320.7600984593,6125093.784248996,3804.0,2A,SRMV,0,AbsorptionChiller,486.356072288767,0,6125093.784248996,1.0,3.310685235193951,0.0008703168336472005
71,houston,primary_school,978606.1960831732,1554896.5115543662,20798.643687421012,3541071.2755571916,6871.0,2A,SRMV,0,AbsorptionChiller,142.4255852253199,0,3541071.2755571916,1.0,3.618484421752252,0.0005266314105300905
72,houston,quick_service_restaurant,96539.23317992153,153390.11494143086,2051.7805025172684,346993.2030842952,232.0,2A,SRMV,0,AbsorptionChiller,416.1173843962135,0,346993.2030842952,1.0,3.594323174678621,0.015492772304649228
73,houston,secondary_school,9826665.830957823,15613480.153632928,208849.4044606226,34469358.42993199,19592.0,2A,SRMV,0,AbsorptionChiller,501.56522207828823,0,34469358.42993199,1.0,3.507736909231216,0.00017903924608162597
74,houston,small_hotel,672384.7755477133,1068344.6989258137,14290.417762974119,2280787.9166494985,4014.0,2A,SRMV,0,AbsorptionChiller,167.50990920471182,0,2280787.9166494985,1.0,3.392087387451043,0.0008450641224342409
75,houston,small_office,53903.80669190545,85647.15952158318,1145.6355715586228,193215.37160173286,511.0,2A,SRMV,0,AbsorptionChiller,105.48690154971712,0,193215.37160173286,1.0,3.5844476199256508,0.0070145745986803345
76,houston,stand_alone_retail,347604.700222829,552305.2459096082,7387.758562069222,1266421.0243655806,2294.0,2A,SRMV,0,AbsorptionChiller,151.52776818780688,0,1266421.0243655806,1.0,3.643279344478807,0.0015881775695199682
77,houston,strip_mall,283609.45215008274,450623.90730513225,6027.646223029751,1041580.1817498978,2090.0,2A,SRMV,0,AbsorptionChiller,135.6983024641544,0,1041580.1817498978,1.0,3.6725862761397177,0.0017572183139424487
78,houston,supermarket,343831.0932244791,546309.4036788956,7307.556834664242,1259451.0692149876,4181.0,2A,SRMV,0,AbsorptionChiller,82.23656857796678,0,1259451.0692149876,1.0,3.662993528024884,0.0008761046467411825
79,houston,warehouse,83300.38506025884,132355.0562624108,1770.4108504806989,322418.81926458736,4835.0,2A,SRMV,0,AbsorptionChiller,17.228621522287245,0,322418.81926458736,1.0,3.8705561688742756,0.0008005286802221873
80,houston,full_service_restaurant,234795.52030166617,373063.99336820224,4990.187458144738,836347.3008396006,569.52,2A,SRSO,0,AbsorptionChiller,412.26913945369114,0,836347.3008396006,1.0,3.5620240955409135,0.006254431969976319
81,houston,hospital,18556071.28920018,29483535.492840096,394378.368466467,57819188.43397459,22422.0,2A,SRSO,0,AbsorptionChiller,827.5832347337516,0,57819188.43397459,1.0,3.115917563198086,0.0001389669772187176
82,houston,large_hotel,3829362.368251737,6084431.318444385,81386.71486657627,12341018.328203132,11345.0,2A,SRSO,0,AbsorptionChiller,337.537449823864,0,12341018.328203132,1.0,3.222734528996095,0.00028406650762415997
83,houston,large_office,8672765.267591411,13780060.369617427,184325.17115387614,29166926.772496473,46320.0,2A,SRSO,0,AbsorptionChiller,187.23586501708573,0,29166926.772496473,1.0,3.3630481020267107,7.260466541508443e-05
84,houston,medium_office,729910.741203094,1159747.0665782448,15513.036286369688,2571911.00362326,4982.0,2A,SRSO,0,AbsorptionChiller,146.50958273847732,0,2571911.00362326,1.0,3.523596596734612,0.0007072654750571281
