,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,Total_w4e_intensity_factor_(L/kWh),chp_id,Total_annual_water_consumption_L,percent_evaporation,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
345,helena,secondary_school,1390130.1998339577,2208762.4286250705,29544.90051380441,5578059.670114796,19592.0,6B,NWPP,AbsorptionChiller,70.95397100009993,0.0279,RE2,5715517.765015019,0.9759500187819183,4.111498164486824,0.00020985597001259821
346,helena,small_hotel,196149.2408074083,311659.34928288497,4168.825197960134,694998.5545065156,4014.0,6B,NWPP,AbsorptionChiller,48.866278228053886,0.0279,RE2,714394.0765667745,0.9728503879070923,3.642094527748959,0.0009073479142374088
347,helena,small_office,8098.410697059278,12867.474774216373,172.1182220148326,33307.98190655539,511.0,6B,NWPP,AbsorptionChiller,15.848161833775496,0.0279,RE2,34108.764528406435,0.9765226728988047,4.2117849790937525,0.008242240663588557
348,helena,stand_alone_retail,31493.993898466186,50040.45697200735,669.3523503220678,134754.14437409004,2294.0,6B,NWPP,AbsorptionChiller,13.72885523036887,0.0279,RE2,137868.31627151338,0.9774119828134378,4.377606622900496,0.0019082853630778098
349,helena,strip_mall,29103.873397231015,46242.821064489246,618.5543226024839,124809.1328593145,2090.0,6B,NWPP,AbsorptionChiller,13.925298276187089,0.0279,RE2,127686.96616721508,0.9774618084031235,4.38728427740355,0.0020991790800973923
350,helena,supermarket,36598.029982774366,58150.20319485246,777.8301305672294,160827.08432699248,4181.0,6B,NWPP,AbsorptionChiller,8.7534154467291,0.0279,RE2,164445.95073183303,0.9779935815461827,4.493300617799181,0.0010746951967948292
351,helena,warehouse,7519.8340709846725,11948.180801675659,159.82154012199425,34711.01817856532,4835.0,6B,NWPP,AbsorptionChiller,1.5552914314342652,0.0279,RE2,35454.5903025914,0.9790274794411674,4.714810189681334,0.0009751417145152706
352,houston,full_service_restaurant,234795.52030166617,373063.99336820224,4990.187458144738,836347.3008396006,569.52,2A,ERCT,AbsorptionChiller,412.26913945369114,0.0279,RE2,859564.2231938007,0.9729898921712503,3.6609055491749984,0.006428054412794983
353,houston,hospital,18556071.28920018,29483535.492840096,394378.368466467,57819188.43397459,22422.0,2A,ERCT,AbsorptionChiller,827.5832347337516,0.0279,RE2,59654039.7367884,0.9692417929965895,3.2147990168321705,0.00014337699655838778
354,houston,large_hotel,3829362.368251737,6084431.318444385,81386.71486657627,12341018.328203132,11345.0,2A,ERCT,AbsorptionChiller,337.537449823864,0.0279,RE2,12719671.245667525,0.9702309194828156,3.3216159826301794,0.00029278236955753014
355,houston,large_office,8672765.267591411,13780060.369617427,184325.17115387614,29166926.772496473,46320.0,2A,ERCT,AbsorptionChiller,187.23586501708573,0.0279,RE2,30024502.409183115,0.9714374738005866,3.4619295556607956,7.47394118234196e-05
356,houston,medium_office,729910.741203094,1159747.0665782448,15513.036286369688,2571911.00362326,4982.0,2A,ERCT,AbsorptionChiller,146.50958273847732,0.0279,RE2,2644085.6387365544,0.9727033670710522,3.622478050368697,0.0007271132176573056
357,houston,midrise_apartment,286310.58942129154,454915.7143027182,6085.054393833835,1003516.2255100245,3135.0,2A,ERCT,AbsorptionChiller,91.32714176117753,0.0279,RE2,1031827.0327828334,0.9725624485758482,3.603873104618398,0.001149560798921339
358,houston,outpatient_healthcare,1850098.4989864696,2939600.9483896135,39320.7600984593,6125093.784248996,3804.0,2A,ERCT,AbsorptionChiller,486.356072288767,0.0279,RE2,6308034.213195017,0.9709988210648335,3.409566688828036,0.0008963109066319758
359,houston,primary_school,978606.1960831732,1554896.5115543662,20798.643687421012,3541071.2755571916,6871.0,2A,ERCT,AbsorptionChiller,142.4255852253199,0.0279,RE2,3637837.278761218,0.9734001287608506,3.7173658753863363,0.0005410225404433614
360,houston,quick_service_restaurant,96539.23317992153,153390.11494143086,2051.7805025172684,346993.2030842952,232.0,2A,ERCT,AbsorptionChiller,416.1173843962135,0.0279,RE2,356539.14279384573,0.9732261102252381,3.6932046283127056,0.01591898546686511
361,houston,secondary_school,9826665.830957823,15613480.153632928,208849.4044606226,34469358.42993199,19592.0,2A,ERCT,AbsorptionChiller,501.56522207828823,0.0279,RE2,35441033.43167349,0.9725833332818925,3.6066183628653006,0.00018408627821893124
362,houston,small_hotel,672384.7755477133,1068344.6989258137,14290.417762974119,2280787.9166494985,4014.0,2A,ERCT,AbsorptionChiller,167.50990920471182,0.0279,RE2,2347274.3006570847,0.9716750684021146,3.4909688410851283,0.0008696982663390952
363,houston,small_office,53903.80669190545,85647.15952158318,1145.6355715586228,193215.37160173286,511.0,2A,ERCT,AbsorptionChiller,105.48690154971712,0.0279,RE2,198545.4583638392,0.9731543254324215,3.683329073559736,0.007208080378786176
364,houston,stand_alone_retail,347604.700222829,552305.2459096082,7387.758562069222,1266421.0243655806,2294.0,2A,ERCT,AbsorptionChiller,151.52776818780688,0.0279,RE2,1300792.6824136546,0.9735763749959783,3.742160798112893,0.0016312819520980352
365,houston,strip_mall,283609.45215008274,450623.90730513225,6027.646223029751,1041580.1817498978,2090.0,2A,ERCT,AbsorptionChiller,135.6983024641544,0.0279,RE2,1069623.8966428644,0.9737817049703311,3.7714677297738026,0.0018045300142458386
366,houston,supermarket,343831.0932244791,546309.4036788956,7307.556834664242,1259451.0692149876,4181.0,2A,ERCT,AbsorptionChiller,82.23656857796678,0.0279,RE2,1293449.5875176208,0.9737148485486141,3.7618749816589694,0.0008997548389521572
367,houston,warehouse,83300.38506025884,132355.0562624108,1770.4108504806989,322418.81926458736,4835.0,2A,ERCT,AbsorptionChiller,17.228621522287245,0.0279,RE2,330655.68242762476,0.975089304068318,3.96943762250836,0.0008209798598776339
368,las_vegas,full_service_restaurant,184634.0328775405,293362.96334987035,3924.088645423992,904730.799967756,569.52,3B,NWPP,AbsorptionChiller,324.19236001815653,0.0279,RE2,922987.6815290108,0.9802197993249373,4.9990116510166205,0.008777587531634747
369,las_vegas,hospital,13887915.13610575,22066354.049590155,295164.4896927009,52677088.97990446,22422.0,3B,NWPP,AbsorptionChiller,619.3878840471747,0.0279,RE2,54050346.2165094,0.9745929983296667,3.8918977893225684,0.00017357496161460033
370,las_vegas,large_hotel,3394095.8894219236,5392841.246525968,72135.85130318026,13329332.002865216,11345.0,3B,NWPP,AbsorptionChiller,299.1710788384243,0.0279,RE2,13664945.13818473,0.9754398475862379,4.026092833962956,0.00035487816958686255
371,las_vegas,large_office,4798931.815992812,7624969.440966382,101993.29752923404,21653462.378385585,46320.0,3B,NWPP,AbsorptionChiller,103.60388203784136,0.0279,RE2,22127987.732241817,0.9785554222282571,4.611023573725008,9.954714105623939e-05
372,las_vegas,medium_office,563422.4861275083,895215.7279581497,11974.605905163278,2707776.3499178574,4982.0,3B,NWPP,AbsorptionChiller,113.09162708300047,0.0279,RE2,2763488.3843562757,0.9798399606982985,4.9048244477251295,0.0009845091223856142
373,las_vegas,midrise_apartment,235897.69653576487,374815.2289401591,5013.6123770401255,1111078.5802123793,3135.0,3B,NWPP,AbsorptionChiller,75.24647417408768,0.0279,RE2,1134404.487354768,0.9794377513467171,4.808883274461219,0.0015339340588393043
374,las_vegas,outpatient_healthcare,1452956.351084027,2308586.202277979,30880.165648372837,6257998.153770596,3804.0,3B,NWPP,AbsorptionChiller,381.95487673081675,0.0279,RE2,6401668.589832663,0.9775573455504634,4.405960705603085,0.0011582441392226825
