,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,PoG_w4e_intensity (L/kWh),Total_w4e_intensity (L/kWh),annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm,Total_annual_water_consumption_L,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity L_per_kWh_sqm
25,atlanta,secondary_school,6420113.817731498,10200847.510395601,136448.81900618665,22867930.357016925,19592.0,3A,SRSO,AbsorptionChiller,1327.841534174043,11.15,14.942,24389334.688935906,3.7988944404031932,0.0007857072265570203,24906748.610607367,3.879487080403193,0.0008023758180771858
26,atlanta,small_hotel,493999.10115928575,784909.6829530863,10499.127563305397,1672218.3855585307,4014.0,3A,SRSO,AbsorptionChiller,102.1714790401832,11.15,14.942,1789283.657889386,3.6220382864875837,0.0007491289113728198,1829096.34960944,3.702630926487584,0.0007657975028929853
27,atlanta,small_office,29775.355804512154,47309.73200050265,632.8255620318986,108255.32511091532,511.0,3A,SRSO,AbsorptionChiller,6.15829489234998,11.15,14.942,115311.330127571,3.8727104013345404,0.0008009742298520249,117711.00465879595,3.9533030413345402,0.0008176428213721904
28,atlanta,stand_alone_retail,185250.8378786051,294342.9979626724,3937.1978077132876,690731.8792698794,2294.0,3A,SRSO,AbsorptionChiller,38.3145476481086,11.15,14.942,734631.6348258826,3.965604923780625,0.000820187161071484,749561.4889127314,4.046197563780625,0.0008368557525916494
29,atlanta,strip_mall,168569.13147156916,267837.62000482663,3582.655940875749,632462.0431315838,2090.0,3A,SRSO,AbsorptionChiller,34.86434983900086,11.15,14.942,672408.6568723484,3.9889192701082212,0.0008250091561754335,685994.0882001492,4.069511910108221,0.000841677747695599
30,atlanta,supermarket,183299.7360377032,291242.9139265729,3895.7303899213193,679807.1111357838,4181.0,3A,SRSO,AbsorptionChiller,37.91101055588484,11.15,14.942,723244.5049834065,3.9456931069155563,0.0008160688949153167,738017.1146219881,4.026285746915557,0.0008327374864354822
31,atlanta,warehouse,40339.670567919835,64095.25434680596,857.3524651368555,156096.2456280063,4835.0,3A,SRSO,AbsorptionChiller,8.34326175137949,11.15,14.942,165655.72561428224,4.106521527868404,0.000849332270500187,168906.8061620812,4.187114167868404,0.0008660008620203524
32,baltimore,full_service_restaurant,94354.6876052642,149919.1147505863,2005.3516272372092,338390.64542126225,569.52,4A,RFCE,AbsorptionChiller,19.514930218255266,11.15,14.942,360750.3160649571,3.8233428059681294,0.0007907637654535945,368354.6094354406,3.9039354459681292,0.00080743235697376
33,baltimore,hospital,16332923.58797378,25951200.812002894,347129.06932306924,48007818.9704364,22422.0,4A,RFCE,AbsorptionChiller,3378.0607214009888,11.15,14.942,51878308.093388624,3.1763026266520673,0.0006569395298142848,53194621.524261706,3.256895266652067,0.0006736081213344503
34,baltimore,large_hotel,3297171.8709036363,5238839.75043577,70075.89282960506,10050422.387676325,11345.0,4A,RFCE,AbsorptionChiller,681.9383393802764,11.15,14.942,10831768.59272642,3.2851695382679043,0.0006794559541402077,11097496.378336284,3.365762178267904,0.0006961245456603731
