,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
18,atlanta,large_hotel,3565816.3839056278,5665686.032205581,75785.4842126073,11352584.313162655,11345.0,3A,SRSO,0.268,AbsorptionChiller,737.5008032896851,US Overall,11372894.822931634,3.189422448745086,0.0006596530400713725
19,atlanta,large_office,6461081.304124868,10265940.294331718,137319.5146503334,21830640.62335508,46320.0,3A,SRSO,0.268,AbsorptionChiller,1336.3146440796004,US Overall,21867442.25328137,3.384486469675101,0.0006999972015874045
20,atlanta,medium_office,490971.69680856995,780099.4738180602,10434.785129504771,1736731.5157058043,4982.0,3A,SRSO,0.268,AbsorptionChiller,101.54533543093484,US Overall,1739528.0381205117,3.543031195948459,0.0007327882514888229
21,atlanta,midrise_apartment,190390.21539679018,302508.89779712254,4046.4267112331227,675359.5571061383,3135.0,3A,SRSO,0.268,AbsorptionChiller,39.377500599129306,US Overall,676443.9994647488,3.552934682357385,0.0007348365423696763
22,atlanta,outpatient_healthcare,1474836.239312145,2343350.913573765,31345.186206181068,4856387.413846394,3804.0,3A,SRSO,0.268,AbsorptionChiller,305.03334835825126,US Overall,4864787.923749651,3.298527520600226,0.0006822187219442039
23,atlanta,primary_school,581751.7807207332,924338.9404784988,12364.164512918005,2132793.5377059886,6871.0,3A,SRSO,0.268,AbsorptionChiller,120.32094740863148,US Overall,2136107.1337954504,3.6718531933826206,0.000759431891082238
24,atlanta,quick_service_restaurant,55457.844426624295,88116.35281119213,1178.6640535471902,204063.22581834727,232.0,3A,SRSO,0.268,AbsorptionChiller,11.470081577378345,US Overall,204379.10778469793,3.68530565689602,0.0007622141999784943
25,atlanta,secondary_school,6420113.817731498,10200847.510395601,136448.81900618665,22867930.357016925,19592.0,3A,SRSO,0.268,AbsorptionChiller,1327.841534174043,US Overall,22904498.64051058,3.5676156670698598,0.0007378729404487818
26,atlanta,small_hotel,493999.10115928575,784909.6829530863,10499.127563305397,1672218.3855585307,4014.0,3A,SRSO,0.268,AbsorptionChiller,102.1714790401832,US Overall,1675032.1517454966,3.3907595131542494,0.0007012946252645811
27,atlanta,small_office,29775.355804512154,47309.73200050265,632.8255620318986,108255.32511091532,511.0,3A,SRSO,0.268,AbsorptionChiller,6.15829489234998,US Overall,108424.92236153987,3.6414316280012065,0.0007531399437437862
