,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,%_evap_mean,%_evap_std,reference_w4r_(L/MWhr_sqm),normalized_w4r_mean,normalized_w4r_std,percent_diff-mean,percent_diff-std
37,FRCC,1A,WaterCooledChiller,PoG,2.680467884627622,4.492445609224858,0.44845399452391416,0.007971725034615166,2.361038215051045,1.135292037011638,1.902741590791123,21.77859422698687,1.7617673820715327
38,FRCC,2A,AbsorptionChiller,PoG,2.4078614366953115,4.051653178745723,1.0,0.0,2.361038215051045,1.0198316237940495,1.7160472680693684,7.601464635415177,5.806752971829272
39,FRCC,2A,WaterCooledChiller,PoG,2.745074737406333,4.60903670211376,0.45680142432000115,0.018049838513111188,2.361038215051045,1.1626557841830552,1.9521228723585542,23.75239105783785,4.068756641804378
40,MROE,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,130.75600177813868,17.14174850433231
41,MROE,5A,WaterCooledChiller,PoG,1.945308175090813,3.295761814347062,0.6433682846154307,0.0229334445029214,2.361038215051045,0.8239206645152738,1.3958951588912798,88.98223505811838,11.350906559033497
42,MROE,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,132.88131910125026,17.975008156479188
43,MROE,6A,WaterCooledChiller,PoG,1.964787668819029,3.3273239577745963,0.6471066545702551,0.023459291335697224,2.361038215051045,0.8321710577550101,1.4092630676469846,91.02558873686799,11.759711313006804
44,MROE,7,AbsorptionChiller,PoG,2.335047180622796,3.977058609140817,1.0,0.0,2.361038215051045,0.9889916926110887,1.6844532984633773,123.3879185113288,19.63480620365049
45,MROE,7,WaterCooledChiller,PoG,1.910605959964963,3.244593634896703,0.633816411616553,0.028363230683511115,2.361038215051045,0.8092228019797881,1.3742232608575358,84.32517101538433,12.947221147940455
46,MROW,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,75.4529044384003,13.033548592721136
47,MROW,5A,WaterCooledChiller,PoG,2.1570283930394565,3.6505521684269144,0.5785022192303155,0.02419353602416807,2.361038215051045,0.9135931723971787,1.5461639481968277,59.78466030832614,8.630542687704633
48,MROW,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,77.06886716231544,13.66710882514815
49,MROW,6A,WaterCooledChiller,PoG,2.176507886767697,3.682117168146121,0.5824868689853975,0.024780690641927425,2.361038215051045,0.9218435656369255,1.559533066713414,61.33830283536828,8.941373092464879
50,MROW,6B,AbsorptionChiller,PoG,2.838578323234512,4.899085441686528,1.0,0.0,2.361038215051045,1.2022585255669584,2.074970837174955,102.21916934123539,25.665149738475982
51,MROW,6B,WaterCooledChiller,PoG,2.535741330416293,4.354358485282724,0.6288358594576648,0.041949763810066765,2.361038215051045,1.0739941921530785,1.8442558267480578,82.8899063942051,18.614723827785674
52,MROW,7,AbsorptionChiller,PoG,2.335047180622796,3.977058609140817,1.0,0.0,2.361038215051045,0.9889916926110887,1.6844532984633773,69.85065964587412,14.92911885268294
53,MROW,7,WaterCooledChiller,PoG,2.122326177913613,3.5993801606549822,0.5684530536446017,0.029650411105877652,2.361038215051045,0.8988953098616952,1.5244904287062397,56.243710533860046,9.844283733933496
54,NEWE,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,41.75045057096231,10.26613648456775
55,NEWE,4A,WaterCooledChiller,PoG,2.3884579516198783,4.027793435355452,0.5272410178257769,0.023378002064029776,2.361038215051045,1.011613423448227,1.7059416529894553,42.361912392726396,6.831345836354374
56,NEWE,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,40.70975504465676,10.452647881293728
57,NEWE,5A,WaterCooledChiller,PoG,2.3751561127547722,4.016082789651167,0.5240955000620536,0.024596453607969693,2.361038215051045,1.0059795295195688,1.70098169697111,41.44182328357617,6.921524333718509
58,NEWE,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,42.00572514997484,10.960750641953062
59,NEWE,6A,WaterCooledChiller,PoG,2.394635606483019,4.047650185875389,0.5281814904364526,0.02522091851109471,2.361038215051045,1.0142299227593181,1.714351830509393,42.68781382506943,7.170804163262713
60,NEWE,7,AbsorptionChiller,PoG,2.335047180622796,3.977058609140817,1.0,0.0,2.361038215051045,0.9889916926110887,1.6844532984633773,36.21686565659121,11.972857693737273
61,NEWE,7,WaterCooledChiller,PoG,2.340453897628929,3.964907591548728,0.5138999063394545,0.02992030327715272,2.361038215051045,0.9912816669840853,1.679306826240001,38.60205168227141,7.894920618300774
62,NWPP,3B,AbsorptionChiller,PoG,3.2786898599700502,5.5590395208730765,1.0,0.0,2.361038215051045,1.3886644608584475,2.354489429876887,39.157426919398596,11.642949581726493
63,NWPP,3B,WaterCooledChiller,PoG,3.5136779983646127,5.93585009938806,0.5540081728904251,0.026922404566440163,2.361038215051045,1.4881919216579254,2.51408471982726,51.05320892219877,8.538363754721663
64,NWPP,4B,AbsorptionChiller,PoG,2.9739344269707004,4.9964718929829655,1.0,0.0,2.3610382150510447,1.2595875865170634,2.1162181370600743,25.533924639595664,11.76066255575538
65,NWPP,4B,WaterCooledChiller,PoG,3.268766140533035,5.458177134920234,0.5190465319522375,0.031111390835467784,2.3610382150510447,1.384461344037316,2.3117699239790706,40.160205751187284,8.548733089775794
66,NWPP,4C,AbsorptionChiller,PoG,2.4309467312234516,4.201092704554751,1.0,0.0,2.361038215051045,1.029609226876023,1.7793412566445586,1.0463561749626447,10.470340442752748
67,NWPP,4C,WaterCooledChiller,PoG,2.850895308906366,4.869971417369073,0.4445679501110897,0.03594970190701235,2.361038215051045,1.207475292323776,2.0626398108781925,21.35972717488653,7.539811026939523
68,NWPP,5B,AbsorptionChiller,PoG,2.9804643812043885,5.130335698165893,1.0,0.0,2.361038215051045,1.262353299580097,2.1729151461680076,24.254988988206527,13.754875957166387
69,NWPP,5B,WaterCooledChiller,PoG,3.276587442811165,5.5933174453373065,0.5153174504944115,0.03763619241724727,2.361038215051045,1.3877739978640398,2.3690075872898904,39.282510203841916,10.069374198795
70,NWPP,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,2.9063909607026597,7.942857864297081
71,NWPP,6A,WaterCooledChiller,PoG,2.8131681686867442,4.749021330505832,0.4480781750043379,0.024780428357059868,2.361038215051045,1.1914962454878877,2.0114123101574446,21.89042771658697,5.196421312923129
72,NWPP,6B,AbsorptionChiller,PoG,2.838578323234512,4.899085441686528,1.0,0.0,2.361038215051045,1.2022585255669584,2.074970837174955,17.522889446747687,14.915710341280116
73,NWPP,6B,WaterCooledChiller,PoG,3.1724016123353462,5.421061436572334,0.49710670411907265,0.043830211299519514,2.361038215051045,1.3436468720040435,2.2960498487548335,34.41548521086753,10.818243085558118
74,NWPP,7,AbsorptionChiller,PoG,2.335047180622796,3.977058609140817,1.0,0.0,2.361038215051045,0.9889916926110887,1.6844532984633773,-1.288585246162216,8.676295082091446
75,NWPP,7,WaterCooledChiller,PoG,2.758986459832666,4.666270550153575,0.43404406235534493,0.02903890289670812,2.361038215051045,1.16854798971266,1.9763638387584048,18.929624298311165,5.721162205896722
76,NYCW,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,98.15633920647356,14.351277300215173
77,NYCW,4A,WaterCooledChiller,PoG,2.0748993545291374,3.5023406477915184,0.609064241304064,0.022451368332992775,2.361038215051045,0.8788080350848019,1.4833900719882245,72.28920163782458,9.549701445957327
78,NYCW,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,96.70152608319489,14.61200603473843
79,NYCW,5A,WaterCooledChiller,PoG,2.0615975156640243,3.4906333924792796,0.6060382302101829,0.023763177783090825,2.361038215051045,0.873174141156141,1.478431551944962,71.00298710461402,9.675764120470408
80,NYLI,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,162.09236627310628,18.981780960010283
81,NYLI,4A,WaterCooledChiller,PoG,1.8826743015300291,3.180217937229334,0.6731537036902568,0.02083411221866686,2.361038215051045,0.7973925578707018,1.3469574176971035,106.21175868802223,12.630955230584373
82,NYUP,4A,AbsorptionChiller,PoG,2.410532579234114,4.082330774296664,1.0,0.0,2.361038215051045,1.0209629661508883,1.7290405332166152,54.56729293028093,11.194383643090873
83,NYUP,4A,WaterCooledChiller,PoG,2.297116968989097,3.8747262921449286,0.5487089934062909,0.02325737966122738,2.361038215051045,0.9729266364032291,1.6411112143143174,49.16214828608509,7.44902487958975
84,NYUP,5A,AbsorptionChiller,PoG,2.3928954161335683,4.065268968777133,1.0,0.0,2.361038215051045,1.0134928782090191,1.7218141336561315,53.432499427912646,11.397759093231844
85,NYUP,5A,WaterCooledChiller,PoG,2.283815130123991,3.8630165374717707,0.5455784625975086,0.024507854928594912,2.361038215051045,0.9672927424745709,1.6361516356855126,48.158866234546586,7.547357168197453
86,NYUP,6A,AbsorptionChiller,PoG,2.4143552744111547,4.101546830998457,1.0,0.0,2.361038215051045,1.0225820399772554,1.737179349682734,54.84564901643762,11.951803668957464
