,eGRID_subregion,climate_zone,chiller_type,scope,WC_mean,WC_std,percent_diff-mean,percent_diff-std
112,RMPA,5B,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
113,RMPA,5B,WaterCooledChiller,PoG,2.3958967744606245,4.117717553817389,144.78886616595798,24.556439568647868
114,RMPA,6A,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
115,RMPA,6A,WaterCooledChiller,PoG,1.932477500336204,3.2731799704327873,102.37435120814338,12.672645134122162
116,RMPA,6B,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
117,RMPA,6B,WaterCooledChiller,PoG,2.2917109439848065,3.945526464079504,132.91952823499437,26.382725214548383
118,RMPA,7,AirCooledChiller,PoG,0.9281865069586288,1.555477974942794,0.0,0.0
119,RMPA,7,WaterCooledChiller,PoG,1.878295791482126,3.19045080475311,95.15376442886664,13.952344127641496
120,SPNO,3A,AirCooledChiller,PoG,1.5159719921755206,2.5405034729342826,0.0,0.0
121,SPNO,3A,WaterCooledChiller,PoG,2.359526913201346,3.9764346261763617,52.66949519453725,6.602081220513153
122,SPNO,4A,AirCooledChiller,PoG,1.5159719921755206,2.5405034729342826,0.0,0.0
123,SPNO,4A,WaterCooledChiller,PoG,2.3311994251946184,3.9318408582865763,50.26432623381753,7.391792327018132
124,SPNO,4B,AirCooledChiller,PoG,1.5159719921755206,2.5405034729342826,0.0,0.0
125,SPNO,4B,WaterCooledChiller,PoG,2.7929750519040306,4.751143710558774,77.8967069961262,12.975645402562776
126,SPNO,5A,AirCooledChiller,PoG,1.5159719921755206,2.5405034729342826,0.0,0.0
127,SPNO,5A,WaterCooledChiller,PoG,2.317897586329512,3.9201307628831144,49.268752626484684,7.489369106297266
128,SPNO,5B,AirCooledChiller,PoG,1.5159719921755206,2.5405034729342826,0.0,0.0
129,SPNO,5B,WaterCooledChiller,PoG,2.800796354182149,4.7961063729387,76.58616516847991,15.035209083141545
130,SPSO,2A,AirCooledChiller,PoG,0.8450653272309805,1.4161814398732804,0.0,0.0
131,SPSO,2A,WaterCooledChiller,PoG,1.8534776830700364,3.1149099811567957,115.86887654873453,10.566238941805185
132,SPSO,3A,AirCooledChiller,PoG,0.8450653272309808,1.3931525646399243,0.0,0.0
133,SPSO,3A,WaterCooledChiller,PoG,1.8973688070545487,3.149896347944306,119.18644889472077,11.650955349112657
134,SPSO,3B,AirCooledChiller,PoG,0.8450653272309805,1.4161814398732804,0.0,0.0
135,SPSO,3B,WaterCooledChiller,PoG,2.575728803588818,4.364081966204757,193.6198215637982,22.870862288201515
136,SPSO,4A,AirCooledChiller,PoG,0.8450653272309805,1.4161814398732804,0.0,0.0
137,SPSO,4A,WaterCooledChiller,PoG,1.869041319047822,3.1573724541220236,114.87178982232653,13.260217617082958
138,SPSO,4B,AirCooledChiller,PoG,0.8450653272309805,1.4161814398732804,0.0,0.0
139,SPSO,4B,WaterCooledChiller,PoG,2.33081694575724,3.976763117326869,164.44182182216204,23.27715311091755
140,SPSO,5B,AirCooledChiller,PoG,0.8450653272309805,1.4161814398732804,0.0,0.0
141,SPSO,5B,WaterCooledChiller,PoG,2.338638248035352,4.021787918749949,162.09082641237987,26.971827067181067
142,SRMV,2A,AirCooledChiller,PoG,1.2693791589835088,2.127257085561451,0.0,0.0
143,SRMV,2A,WaterCooledChiller,PoG,2.1457688274885465,3.6047245888628674,66.736956206986,7.034275067280381
144,SRMV,3A,AirCooledChiller,PoG,1.2693791589835088,2.0926652340985124,0.0,0.0
145,SRMV,3A,WaterCooledChiller,PoG,2.189659951473065,3.6317426697723745,68.94556766900986,7.75640463684477
146,SRMV,4A,AirCooledChiller,PoG,1.2693791589835088,2.127257085561451,0.0,0.0
147,SRMV,4A,WaterCooledChiller,PoG,2.16133246346632,3.6471823766580576,66.0731644511755,8.827740758491208
