,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,Total_annual_water_consumption_L,Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
59,houston,small_office,53903.80669190545,511.0,2A,SPSO,18.722,105.48690154971712,AirCooledChiller,15854.060791736896,0,296819.7261428982,5.5064705882352944,0.01077587199263267
60,houston,stand_alone_retail,347604.700222829,2294.0,2A,SPSO,18.722,151.52776818780688,AirCooledChiller,102236.67653612618,0,1914075.0581093545,5.5064705882352944,0.0024003795066413662
61,houston,strip_mall,283609.45215008274,2090.0,2A,SPSO,18.722,135.6983024641544,AirCooledChiller,83414.54475002433,0,1561687.1068099556,5.506470588235294,0.0026346749226006188
62,houston,supermarket,343831.0932244791,4181.0,2A,SPSO,18.722,82.23656857796678,AirCooledChiller,101126.7921248468,0,1893295.802161382,5.5064705882352944,0.001317022384174909
63,houston,warehouse,83300.38506025884,4835.0,2A,SPSO,18.722,17.228621522287245,AirCooledChiller,24500.113253017305,0,458691.12032299,5.5064705882352944,0.001138877060648458
64,houston,full_service_restaurant,234795.52030166617,569.52,2A,SRMV,45.881,412.26913945369114,AirCooledChiller,69057.50597107828,0,3168427.4314590427,13.494411764705882,0.023694359749799627
65,houston,hospital,18556071.28920018,22422.0,2A,SRMV,45.881,827.5832347337516,AirCooledChiller,5457668.026235347,0,250403266.71170396,13.494411764705882,0.0006018380057401607
66,houston,large_hotel,3829362.368251737,11345.0,2A,SRMV,45.881,337.537449823864,AirCooledChiller,1126283.049485805,0,51674992.59345822,13.494411764705882,0.0011894589479687864
67,houston,large_office,8672765.267591411,46320.0,2A,SRMV,45.881,187.23586501708573,AirCooledChiller,2550813.313997474,0,117033865.65951811,13.494411764705884,0.00029133013308950525
68,houston,medium_office,729910.741203094,4982.0,2A,SRMV,45.881,146.50958273847732,AirCooledChiller,214679.6297656159,0,9849716.093276223,13.494411764705884,0.0027086334333010606
69,houston,midrise_apartment,286310.58942129154,3135.0,2A,SRMV,45.881,91.32714176117753,AirCooledChiller,84208.99688861516,0,3863592.9862465523,13.494411764705882,0.004304437564499484
70,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SRMV,45.881,486.356072288767,AirCooledChiller,544146.6173489616,0,24965990.95058771,13.494411764705882,0.0035474268571782023
71,houston,primary_school,978606.1960831732,6871.0,2A,SRMV,45.881,142.4255852253199,AirCooledChiller,287825.3517891686,0,13205714.965438845,13.494411764705884,0.001963966200655783
72,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SRMV,45.881,416.1173843962134,AirCooledChiller,28393.892111741625,0,1302740.1639788174,13.494411764705882,0.058165567951318456
73,houston,secondary_school,9826665.830957824,19592.0,2A,SRMV,45.881,501.5652220782883,AirCooledChiller,2890195.8326346544,0,132605074.99711058,13.494411764705882,0.0006887715273941345
74,houston,small_hotel,672384.7755477133,4014.0,2A,SRMV,45.881,167.50990920471182,AirCooledChiller,197760.22810226862,0,9073437.025560187,13.494411764705884,0.003361836513379642
75,houston,small_office,53903.80669190545,511.0,2A,SRMV,45.881,105.48690154971712,AirCooledChiller,15854.060791736896,0,727400.1631856805,13.494411764705882,0.0264078508115575
