,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,w4e_int_factor_(L/kWhe),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,Cooling_HeatDemand_kWh,PoG_annual_water_consumption_L,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm,MakeupWater_kg,percent_evaporation
53,houston,midrise_apartment,286310.58942129154,3135.0,2A,SPSO,0.053,4.27,91.32714176117753,AirCooledChiller,86381.23078029614,0,368847.8554318645,1.2882787750791975,0.00041093421852605983,0,0
54,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SPSO,0.053,4.27,486.356072288767,AirCooledChiller,558183.2852576466,0,2383442.628050151,1.2882787750791975,0.00033866424160862186,0,0
55,houston,primary_school,978606.1960831732,6871.0,2A,SPSO,0.053,4.27,142.4255852253199,AirCooledChiller,295250.02144612256,0,1260717.5915749432,1.2882787750791973,0.0001874950917012367,0,0
56,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SPSO,0.053,4.27,416.1173843962134,AirCooledChiller,29126.333739605227,0,124369.4450681143,1.2882787750791975,0.005552925754651714,0,0
57,houston,secondary_school,9826665.830957824,19592.0,2A,SPSO,0.053,4.27,501.5652220782883,AirCooledChiller,2964750.590121534,0,12659485.01981895,1.2882787750791975,6.575534785010195e-05,0,0
58,houston,small_hotel,672384.7755477133,4014.0,2A,SPSO,0.053,4.27,167.50990920471182,AirCooledChiller,202861.600708316,0,866219.0350245092,1.2882787750791975,0.00032094638143477766,0,0
59,houston,small_office,53903.80669190545,511.0,2A,SPSO,0.053,4.27,105.48690154971712,AirCooledChiller,16263.028116429461,0,69443.13005715379,1.2882787750791973,0.00252109349330567,0,0
60,houston,stand_alone_retail,347604.700222829,2294.0,2A,SPSO,0.053,4.27,151.52776818780688,AirCooledChiller,104873.94787232736,0,447811.7574148378,1.2882787750791975,0.000561586214071141,0,0
61,houston,strip_mall,283609.45215008274,2090.0,2A,SPSO,0.053,4.27,135.6983024641544,AirCooledChiller,85566.28515615712,0,365368.03761679085,1.2882787750791975,0.0006164013277890897,0,0
62,houston,supermarket,343831.0932244791,4181.0,2A,SPSO,0.053,4.27,82.23656857796678,AirCooledChiller,103735.43316472444,0,442950.2996133733,1.2882787750791975,0.00030812694931336943,0,0
63,houston,warehouse,83300.38506025884,4835.0,2A,SPSO,0.053,4.27,17.228621522287245,AirCooledChiller,25132.111950598533,0,107314.11802905572,1.2882787750791973,0.0002664485574103821,0,0
64,houston,full_service_restaurant,234795.52030166617,569.52,2A,SRMV,0.053,6.414,412.26913945369114,AirCooledChiller,70838.89585206402,0,454360.67799513857,1.935133504299291,0.0033978323927154287,0,0
65,houston,hospital,18556071.28920018,22422.0,2A,SRMV,0.053,6.414,827.5832347337516,AirCooledChiller,5598452.644199783,0,35908475.2598974,1.935133504299291,8.630512462310637e-05,0,0
66,houston,large_hotel,3829362.368251737,11345.0,2A,SRMV,0.053,6.414,337.537449823864,AirCooledChiller,1155336.3609146893,0,7410327.418906816,1.935133504299291,0.0001705714856147458,0,0
67,houston,large_office,8672765.267591411,46320.0,2A,SRMV,0.053,6.414,187.23586501708573,AirCooledChiller,2616613.446248729,0,16782958.644239347,1.9351335042992912,4.177749361613323e-05,0,0
68,houston,medium_office,729910.741203094,4982.0,2A,SRMV,0.053,6.414,146.50958273847732,AirCooledChiller,220217.4509588457,0,1412474.7304500362,1.935133504299291,0.00038842503097135506,0,0
69,houston,midrise_apartment,286310.58942129154,3135.0,2A,SRMV,0.053,6.414,91.32714176117753,AirCooledChiller,86381.23078029614,0,554049.2142248194,1.935133504299291,0.0006172674654862172,0,0
70,houston,outpatient_healthcare,1850098.4989864696,3804.0,2A,SRMV,0.053,6.414,486.356072288767,AirCooledChiller,558183.2852576466,0,3580187.591642545,1.935133504299291,0.00050871017463178,0,0
71,houston,primary_school,978606.1960831732,6871.0,2A,SRMV,0.053,6.414,142.4255852253199,AirCooledChiller,295250.02144612256,0,1893733.63755543,1.935133504299291,0.0002816378262697265,0,0
72,houston,quick_service_restaurant,96539.23317992152,232.0,2A,SRMV,0.053,6.414,416.1173843962134,AirCooledChiller,29126.333739605227,0,186816.30460582793,1.9351335042992912,0.00834109269094522,0,0
73,houston,secondary_school,9826665.830957824,19592.0,2A,SRMV,0.053,6.414,501.5652220782883,AirCooledChiller,2964750.590121534,0,19015910.285039518,1.935133504299291,9.877161618514144e-05,0,0
74,houston,small_hotel,672384.7755477133,4014.0,2A,SRMV,0.053,6.414,167.50990920471182,AirCooledChiller,202861.600708316,0,1301154.3069431388,1.9351335042992912,0.0004820960399350501,0,0
75,houston,small_office,53903.80669190545,511.0,2A,SRMV,0.053,6.414,105.48690154971712,AirCooledChiller,16263.028116429461,0,104311.06233877856,1.935133504299291,0.0037869540201551683,0,0
76,houston,stand_alone_retail,347604.700222829,2294.0,2A,SRMV,0.053,6.414,151.52776818780688,AirCooledChiller,104873.94787232736,0,672661.5016531077,1.9351335042992912,0.0008435629922839107,0,0
77,houston,strip_mall,283609.45215008274,2090.0,2A,SRMV,0.053,6.414,135.6983024641544,AirCooledChiller,85566.28515615712,0,548822.1529915917,1.935133504299291,0.0009259011982293259,0,0
78,houston,supermarket,343831.0932244791,4181.0,2A,SRMV,0.053,6.414,82.23656857796678,AirCooledChiller,103735.43316472444,0,665359.0683185426,1.9351335042992912,0.00046283987187258817,0,0
79,houston,warehouse,83300.38506025884,4835.0,2A,SRMV,0.053,6.414,17.228621522287245,AirCooledChiller,25132.111950598533,0,161197.366051139,1.935133504299291,0.0004002344372904428,0,0
80,houston,full_service_restaurant,234795.52030166617,569.52,2A,SRSO,0.053,7.12,412.26913945369114,AirCooledChiller,70838.89585206402,0,504372.9384666958,2.1481369739025493,0.0037718376420539214,0,0
