,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
88,duluth,quick_service_restaurant,7913.029846782806,232.0,7,MROW,6.48,34.10788727061554,AirCooledChiller,2327.361719642002,15081.303943280172,1.9058823529411766,0.00821501014198783
89,duluth,secondary_school,1750390.105499801,19592.0,7,MROW,6.48,89.34208378418748,AirCooledChiller,514820.61926464736,3336037.612834915,1.9058823529411766,9.727860110969665e-05
90,duluth,small_hotel,201343.92396839635,4014.0,7,MROW,6.48,50.16041952376591,AirCooledChiller,59218.8011671754,383737.8315632966,1.9058823529411766,0.000474808757583751
91,duluth,small_office,6775.2325370162425,511.0,7,MROW,6.48,13.258772088094409,AirCooledChiller,1992.7154520636009,12912.796129372135,1.9058823529411768,0.0037297110625071953
92,duluth,stand_alone_retail,17937.922604426523,2294.0,7,MROW,6.48,7.819495468363785,AirCooledChiller,5275.859589537213,34187.57014020114,1.9058823529411766,0.0008308118365044361
93,duluth,strip_mall,18636.69097990823,2090.0,7,MROW,6.48,8.917077023879537,AirCooledChiller,5481.379699973009,35519.340455825106,1.9058823529411768,0.0009119054320292712
94,duluth,supermarket,30070.773701163613,4181.0,7,MROW,6.48,7.192244367654536,AirCooledChiller,8844.345206224592,57311.35693633536,1.9058823529411766,0.0004558436625068588
95,duluth,warehouse,4273.803721536652,4835.0,7,MROW,6.48,0.8839304491285733,AirCooledChiller,1257.0010945696035,8145.367092811031,1.9058823529411766,0.0003941845611046901
96,helena,full_service_restaurant,31112.259358516207,569.52,6B,NWPP,11.15,54.628914451671946,AirCooledChiller,9150.66451721065,102029.90936689875,3.2794117647058827,0.005758202986209234
97,helena,hospital,9878216.915685952,22422.0,6B,NWPP,11.15,440.5591345859402,AirCooledChiller,2905357.916378221,32394740.767617166,3.2794117647058822,0.00014625866402220508
98,helena,large_hotel,2313862.8035671627,11345.0,6B,NWPP,11.15,203.95441194950752,AirCooledChiller,680547.8834021067,7588108.89993349,3.2794117647058827,0.0002890622974619553
99,helena,large_office,1762237.745246437,46320.0,6B,NWPP,11.15,38.04485633088163,AirCooledChiller,518305.2191901285,5779103.193969933,3.2794117647058827,7.079904500660368e-05
100,helena,medium_office,141310.74495293183,4982.0,6B,NWPP,11.15,28.364260327766324,AirCooledChiller,41561.98380968583,463416.119477997,3.2794117647058822,0.0006582520603584669
101,helena,midrise_apartment,51683.81207959626,3135.0,6B,NWPP,11.15,16.48606445920136,AirCooledChiller,15201.121199881254,169492.50137867598,3.2794117647058827,0.0010460643587578574
102,helena,outpatient_healthcare,700573.9573911512,3804.0,6B,NWPP,11.15,184.16770699031315,AirCooledChiller,206051.16393857388,2297470.477915099,3.2794117647058822,0.0008620956268942908
103,helena,primary_school,125032.0865252436,6871.0,6B,NWPP,11.15,18.197072700515733,AirCooledChiller,36774.143095659885,410031.6955166077,3.2794117647058827,0.000477283039543863
