,city,building,CoolingDemand_kWh,floor_area_m^2,climate_zone,eGRID_subregion,fuel_type,w4e_intensity (L/kWh),CoolingDemand_intensity_kWh/sqm,chiller_type,Cooling_ElecDemand_kWh,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
22,atlanta,outpatient_healthcare,1474836.239312145,3804.0,3A,SRSO,US Overall,0.268,387.70668751633673,AirCooledChiller,433775.36450357205,116251.79768695732,0.07882352941176471,2.0721222242840356e-05
23,atlanta,primary_school,581751.7807207332,6871.0,3A,SRSO,US Overall,0.268,84.66770204056661,AirCooledChiller,171103.46491786273,45855.72859798722,0.07882352941176472,1.1471915210561014e-05
24,atlanta,quick_service_restaurant,55457.844426624295,232.0,3A,SRSO,US Overall,0.268,239.0424328733806,AirCooledChiller,16311.130713713028,4371.3830312750915,0.07882352941176471,0.00033975659229208927
25,atlanta,secondary_school,6420113.817731498,19592.0,3A,SRSO,US Overall,0.268,327.6905786918894,AirCooledChiller,1888268.7699210288,506056.0303388357,0.07882352941176471,4.023250786635602e-06
26,atlanta,small_hotel,493999.10115928575,4014.0,3A,SRSO,US Overall,0.268,123.06903367196955,AirCooledChiller,145293.85328214287,38938.75267961429,0.07882352941176471,1.96371523198218e-05
27,atlanta,small_office,29775.355804512157,511.0,3A,SRSO,US Overall,0.268,58.26879805188289,AirCooledChiller,8757.4575895624,2346.9986340027235,0.07882352941176472,0.00015425348221480376
28,atlanta,stand_alone_retail,185250.8378786051,2294.0,3A,SRSO,US Overall,0.268,80.75450648587842,AirCooledChiller,54485.54055253091,14602.124868078285,0.07882352941176471,3.4360736448022976e-05
29,atlanta,strip_mall,168569.13147156916,2090.0,3A,SRSO,US Overall,0.268,80.655086828502,AirCooledChiller,49579.1563151674,13287.213892464864,0.07882352941176471,3.77146073740501e-05
30,atlanta,supermarket,183299.7360377032,4181.0,3A,SRSO,US Overall,0.268,43.841123185291366,AirCooledChiller,53911.68706991271,14448.332134736607,0.07882352941176472,1.8852793449357742e-05
31,atlanta,warehouse,40339.67056791984,4835.0,3A,SRSO,US Overall,0.268,8.343261751379492,AirCooledChiller,11864.60899056466,3179.715209471329,0.07882352941176472,1.63026948111199e-05
32,baltimore,full_service_restaurant,94354.6876052642,569.52,4A,RFCE,US Overall,0.268,165.6740546517492,AirCooledChiller,27751.37870743065,7437.3694935914145,0.07882352941176471,0.0001384034439734596
33,baltimore,hospital,16332923.58797378,22422.0,4A,RFCE,US Overall,0.268,728.4329492451067,AirCooledChiller,4803801.055286407,1287418.6828167571,0.07882352941176472,3.5154548841211633e-06
34,baltimore,large_hotel,3297171.8709036363,11345.0,4A,RFCE,US Overall,0.268,290.6277541563364,AirCooledChiller,969756.4326187166,259894.72394181608,0.07882352941176472,6.947865086977939e-06
35,baltimore,large_office,5800386.858040384,46320.0,4A,RFCE,US Overall,0.268,125.22424132211538,AirCooledChiller,1705996.1347177601,457206.96410435974,0.07882352941176471,1.701716956212537e-06
36,baltimore,medium_office,407672.0136246548,4982.0,4A,RFCE,US Overall,0.268,81.82898707841325,AirCooledChiller,119903.53341901612,32134.14695629632,0.07882352941176471,1.5821663872293198e-05
37,baltimore,midrise_apartment,133634.22680022588,3135.0,4A,RFCE,US Overall,0.268,42.626547623676515,AirCooledChiller,39304.184353007615,10533.521406606042,0.07882352941176472,2.514307158270007e-05
38,baltimore,outpatient_healthcare,1255467.9023741249,3804.0,4A,RFCE,US Overall,0.268,330.0388807502957,AirCooledChiller,369255.2654041544,98960.41112831338,0.07882352941176471,2.0721222242840356e-05
39,baltimore,primary_school,437185.9414027138,6871.0,4A,RFCE,US Overall,0.268,63.627702139821544,AirCooledChiller,128584.1004125629,34460.53891056686,0.07882352941176471,1.1471915210561012e-05
40,baltimore,quick_service_restaurant,38096.9091924772,232.0,4A,RFCE,US Overall,0.268,164.21081548481553,AirCooledChiller,11204.973291905058,3002.9328422305557,0.07882352941176471,0.00033975659229208927
41,baltimore,secondary_school,5208023.774135944,19592.0,4A,RFCE,US Overall,0.268,265.8239982715366,AirCooledChiller,1531771.6982752779,410514.8151377745,0.07882352941176472,4.023250786635603e-06
42,baltimore,small_hotel,386590.9083973884,4014.0,4A,RFCE,US Overall,0.268,96.31063985983766,AirCooledChiller,113703.20835217307,30472.459838382383,0.07882352941176471,1.96371523198218e-05
43,baltimore,small_office,22528.651074165053,511.0,4A,RFCE,US Overall,0.268,44.0873797928866,AirCooledChiller,6626.073845342663,1775.7877905518337,0.07882352941176471,0.00015425348221480373
44,baltimore,stand_alone_retail,127906.9304286284,2294.0,4A,RFCE,US Overall,0.268,55.75716234900977,AirCooledChiller,37619.685420184825,10082.075692609535,0.07882352941176472,3.436073644802298e-05
45,baltimore,strip_mall,116625.24048155417,2090.0,4A,RFCE,US Overall,0.268,55.80155046964314,AirCooledChiller,34301.541318104166,9192.813073251917,0.07882352941176471,3.77146073740501e-05
46,baltimore,supermarket,125835.34628655232,4181.0,4A,RFCE,US Overall,0.268,30.09694960214119,AirCooledChiller,37010.395966633034,9918.786119057653,0.07882352941176471,1.885279344935774e-05
47,baltimore,warehouse,27889.629316434264,4835.0,4A,RFCE,US Overall,0.268,5.768279072685473,AirCooledChiller,8202.832151892431,2198.3590167071716,0.07882352941176471,1.6302694811119898e-05
48,chicago,full_service_restaurant,68745.04918880865,569.52,5A,RFCW,US Overall,0.268,120.70699745190451,AirCooledChiller,20219.13211435549,5418.727406647271,0.07882352941176471,0.0001384034439734596
