,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,grid_loss_factor,chiller_type,CoolingDemand_intensity_kWh/sqm,w4e_int_factor_(L/kWhe),PoG_annual_water_consumption_L,percent_evaporation,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm
30,houston,supermarket,343831.0932244791,0,69661.8012178843,672039.7544439874,4181.0,2A,ERCT,0.053,WaterCooledChiller,82.23656857796678,5.86,1080257.9095807895,0.6221104686979636,3.1418272834199867,0.0007514535478163087
31,houston,warehouse,83300.38506025884,0,16877.050911891907,175686.2925346329,4835.0,2A,ERCT,0.053,WaterCooledChiller,17.228621522287245,5.86,274585.8108783195,0.6398229099044265,3.2963330323105504,0.0006817648463930818
32,houston,full_service_restaurant,234795.52030166617,0,47570.67986118942,439912.5564633682,569.52,2A,FRCC,0.053,WaterCooledChiller,412.26913945369114,10.81,954151.6057628258,0.4610510046898329,4.063755579905989,0.007135404515918649
33,houston,hospital,18556071.28920018,0,3759547.565668302,29302961.80988734,22422.0,2A,FRCC,0.053,WaterCooledChiller,827.5832347337516,10.81,69943670.99476169,0.41895086993763786,3.769314630488061,0.0001681078686329525
34,houston,large_hotel,3829362.368251737,0,775846.8775662422,6305615.856243538,11345.0,2A,FRCC,0.053,WaterCooledChiller,337.537449823864,10.81,14692520.602734618,0.4291718233200855,3.8368060240385042,0.00033819356756619693
35,houston,large_office,8672765.267591411,0,1757143.1496042253,15158879.582233837,46320.0,2A,FRCC,0.053,WaterCooledChiller,187.23586501708573,10.81,34153597.02945551,0.4438443063306092,3.9380285267354647,8.501788701933213e-05
36,houston,medium_office,729910.741203094,0,147883.35890056324,1356596.18999264,4982.0,2A,FRCC,0.053,WaterCooledChiller,146.50958273847732,10.81,2955215.2997077284,0.4590515588244307,4.048735184848382,0.0008126726585404218
37,houston,midrise_apartment,286310.58942129154,0,58007.875843328125,524612.1927521543,3135.0,2A,FRCC,0.053,WaterCooledChiller,91.32714176117753,10.81,1151677.3306185314,0.45552011731480446,4.022475497488137,0.0012830862830903148
38,houston,outpatient_healthcare,1850098.4989864696,0,374838.68216001947,3159993.507817786,3804.0,2A,FRCC,0.053,WaterCooledChiller,486.356072288767,10.81,7211999.661967597,0.4381577448598588,3.8981706465458523,0.001024755690469467
39,houston,primary_school,978606.1960831732,0,198270.2310684527,1884287.3678230823,6871.0,2A,FRCC,0.053,WaterCooledChiller,142.4255852253199,10.81,4027588.565673056,0.4678450484944696,4.115637711873577,0.0005989867139970278
40,houston,quick_service_restaurant,96539.23317992153,0,19559.303983936145,183253.45657550596,232.0,2A,FRCC,0.053,WaterCooledChiller,416.1173843962135,10.81,394689.53264185565,0.46429773637243016,4.088384790733392,0.017622348235919794
41,houston,secondary_school,9826665.830957823,0,1990928.8462862747,18132713.46954566,19592.0,2A,FRCC,0.053,WaterCooledChiller,501.56522207828823,10.81,39654654.29790029,0.4572657053904965,4.035412924389134,0.00020597248491165446
