,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,Total_annual_water_consumption_L,percent_evaporation,Total_w4e_intensity_factor_(L/kWh),Total_WaterConsumption_intensity_L/kWh,Total_WaterConsumption_intensity_L/kWh_sqm
10,albuquerque,small_hotel,346770.75835346343,0,70257.39123838602,766009.5910883131,4014.0,4B,AZNM,WaterCooledChiller,86.39032345626892,1815795.530972277,0.4218589472340806,14.942,5.236299449221254,0.0013045090805234812
11,albuquerque,small_office,20208.386839671384,0,4094.3144895863506,51277.391305797086,511.0,4B,AZNM,WaterCooledChiller,39.546745283114255,112454.63840919634,0.45598289257941105,14.942,5.564750878008479,0.010889923440329706
12,albuquerque,stand_alone_retail,98566.42002864565,0,19970.021601016695,262796.42705164506,2294.0,4B,AZNM,WaterCooledChiller,42.96705319470168,561188.4898140365,0.4682854902079853,14.942,5.693505857785465,0.0024819118822081362
13,albuquerque,strip_mall,91738.00433999556,0,18586.55237525569,245313.62216435358,2090.0,4B,AZNM,WaterCooledChiller,43.89378198085912,523033.88775542413,0.46902051264231787,14.942,5.701387244232802,0.002727936480494164
14,albuquerque,supermarket,96451.65469490988,0,19541.560169795863,263960.36298573884,4181.0,4B,AZNM,WaterCooledChiller,23.069039630449627,555950.3550428287,0.47479124815992635,14.942,5.764031283873539,0.001378625037998933
15,albuquerque,warehouse,25741.81669509118,0,5215.413477541171,73154.29639867213,4835.0,4B,AZNM,WaterCooledChiller,5.324057227526614,151083.00458009233,0.4841993750520859,14.942,5.869166359532931,0.0012138916979385587
16,atlanta,full_service_restaurant,138201.1475863159,0,28000.204347301362,270172.96959657624,569.52,3A,SRSO,WaterCooledChiller,242.66250102949132,688552.0229539531,0.3923784414102927,14.942,4.982245335726363,0.008748148152349984
17,atlanta,hospital,16863438.28369626,0,3416612.1351973508,26662973.754295304,22422.0,3A,SRSO,WaterCooledChiller,752.093403072708,77713992.27841413,0.3430910312620913,14.942,4.608431031146761,0.00020553166671781112
18,atlanta,large_hotel,3565816.3839056278,0,722451.2180837988,5880603.093268307,11345.0,3A,SRSO,WaterCooledChiller,314.3073057651501,16675469.193876429,0.35264993295827524,14.942,4.676480053527556,0.000412206262981715
19,atlanta,large_office,6461081.304124868,0,1309045.5468687988,11508258.956400495,46320.0,3A,SRSO,WaterCooledChiller,139.48793834466468,31068017.517714087,0.37042141326973366,14.942,4.808485771240755,0.00010381014186616484
20,atlanta,medium_office,490971.69680856995,0,99473.18151461182,925676.085452641,4982.0,3A,SRSO,WaterCooledChiller,98.54911617996186,2412004.363643971,0.3837787772714318,14.942,4.912715700971277,0.0009860930752652102
21,atlanta,midrise_apartment,190390.21539679018,0,38573.95564322177,358271.43485890375,3135.0,3A,SRSO,WaterCooledChiller,60.73053122704631,934643.4800799235,0.3833241685142522,14.942,4.909094084126346,0.0015658992293863944
22,atlanta,outpatient_healthcare,1474836.239312145,0,298808.7783696143,2534433.8005938274,3804.0,3A,SRSO,WaterCooledChiller,387.70668751633673,6999234.566992603,0.3621015664406873,14.942,4.745770669601261,0.0012475737827553261
23,atlanta,primary_school,581751.7807207332,0,117865.65469301469,1149107.8633410481,6871.0,3A,SRSO,WaterCooledChiller,84.66770204056661,2910256.4757640734,0.3948476269739613,14.942,5.002574245941374,0.0007280707678564072
