,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,w4e_intensity (L/kWh),chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,annual_water_consumption_L,WaterConsumption_intensity_L/kWh,WaterConsumption_intensity L_per_kWh_sqm
1591,los_angeles,primary_school,306507.75873932877,0,58808.62197678599,508786.29707831383,6871.0,3B-CA,CAMX,0.685,WaterCooledChiller,63.39353851899251,Bituminous Coal,549070.2031324123,1.7913745654946767,0.0003705014613225805
1592,los_angeles,quick_service_restaurant,10498.060752268371,0,2014.227923001886,18618.318538423915,232.0,3B-CA,CAMX,0.685,WaterCooledChiller,2.171263857759746,Bituminous Coal,19998.064665680206,1.9049294091157853,0.0003939874682762741
1593,los_angeles,secondary_school,3890804.18388832,0,746515.6294153708,6357954.03155448,19592.0,3B-CA,CAMX,0.685,WaterCooledChiller,804.7164806387425,Bituminous Coal,6869317.237704009,1.7655263315870802,0.0003651553943303165
1594,los_angeles,small_hotel,372311.7496972682,0,71434.21437524918,578897.0224547785,4014.0,3B-CA,CAMX,0.685,WaterCooledChiller,77.00346426003479,Bituminous Coal,627829.4593018242,1.6863004184324588,0.00034876947640795423
1595,los_angeles,small_office,15527.703098261163,0,2979.248634453032,25805.232827653326,511.0,3B-CA,CAMX,0.685,WaterCooledChiller,3.211520806258772,Bituminous Coal,27846.018142253655,1.7933121187364751,0.00037090219622264224
1596,los_angeles,stand_alone_retail,48992.813580872746,0,9400.087832383457,82054.82645210308,2294.0,3B-CA,CAMX,0.685,WaterCooledChiller,10.132950068432832,Bituminous Coal,88493.88661728575,1.8062625954561344,0.0003735806815834818
1597,los_angeles,strip_mall,46946.748953050395,0,9007.516232458596,78985.55649339166,2090.0,3B-CA,CAMX,0.685,WaterCooledChiller,9.709772275708458,Bituminous Coal,85155.7051126258,1.8138786393449031,0.0003751558716328652
1598,los_angeles,supermarket,29681.180776676327,0,5694.829218351637,52012.83719670658,4181.0,3B-CA,CAMX,0.685,WaterCooledChiller,6.138817120305341,Bituminous Coal,55913.79521127745,1.8838130339886914,0.0003896200690772888
1599,los_angeles,warehouse,2946.9747711806117,0,565.4262260971856,5040.324230319195,4835.0,3B-CA,CAMX,0.685,WaterCooledChiller,0.6095087427467656,Bituminous Coal,5427.641195195767,1.8417671058043552,0.0003809239101973847
1600,miami,full_service_restaurant,333075.1009053597,0,63906.00936037545,593195.3873069079,569.52,1A,FRCC,0.685,WaterCooledChiller,68.88833524412817,Bituminous Coal,636971.0037187651,1.9123945380106773,0.0003955314452969343
1601,miami,hospital,18181533.961485554,0,3488430.3160770363,30518025.408231072,22422.0,1A,FRCC,0.685,WaterCooledChiller,3760.3999920342408,Bituminous Coal,32907600.174743842,1.809946302905625,0.0003743425652338418
1602,miami,large_hotel,4501829.695100983,0,863751.0575000455,7616997.42177492,11345.0,1A,FRCC,0.685,WaterCooledChiller,931.0919741677317,Bituminous Coal,8208666.896162451,1.8234068039258244,0.0003771265364893122
1603,miami,large_office,10589690.60717502,0,2031808.6378299787,18614813.24568554,46320.0,1A,FRCC,0.685,WaterCooledChiller,2190.2152238211006,Bituminous Coal,20006602.162599076,1.889252755792851,0.0003907451408051398
1604,miami,medium_office,920468.298026496,0,176607.18411468394,1654362.6783115,4982.0,1A,FRCC,0.685,WaterCooledChiller,190.37606991240867,Bituminous Coal,1775338.5994300586,1.9287341054943696,0.00039891088014361314
